Review,Rating,Review_clean,sentiment
Great fall top!,4,great fall,0.6249
Fits great.,4,fit great,0.765
"Nice Quality, but run SMALL",4,nice quality run small,0.4215
Triangles aren't my shape,2,triangle not shape,0.0
"I love the dress, fits perfectly, but got lint just after one wear",3,love dress fit perfectly get lint wear,0.8979
Could be more tapered,3,taper,0.0
Fun embellishment!,4,fun embellishment,0.5106
Cheap and crappy,1,cheap crappy,-0.5574
Loose waist,4,loose waist,-0.3182
Quietly sexy dress,5,quietly sexy dress,0.5267
Husband gift,4,husband gift,0.4404
Cute but It Pills,3,cute pill,0.4588
Amazing rain jacket!,5,amazing rain jacket,0.5859
I am 5’6” and way too long.,3,56 way long,0.0
"Great fit, just one small prob",4,great fit small prob,0.765
Shape problem,3,shape problem,-0.4019
Dont love,3,not love,-0.5216
"Good, not great...",3,good great,0.7906
To short on arms,3,short arm,0.0
No le quedó bien,2,le quedó bien,0.0
Comfortable with reasonable length shorts.,4,comfortable reasonable length short,0.5106
Chunky cashmere,3,chunky cashmere,0.0
This jacket runs really small,3,jacket run small,0.0
Beautiful but fragile,4,beautiful fragile,0.5994
White pants blue shade,1,white pant blue shade,0.0
My bf thought I got a BBL,5,bf think get bbl,0.0
Run small!,3,run small,0.0
Great short,5,great short,0.6249
Keeps you warm and dry!,5,keep warm dry,0.2263
Nice top for flat chested,3,nice flat cheste,0.4215
Runs large and wrinkles horribly.,3,run large wrinkle horribly,-0.5267
These cords are great!,5,cord great,0.6249
Wrinkled mess!,3,wrinkle mess,-0.3612
Order this before it sells out again!,5,order sell,0.0
"Comfy, but not flattering to larger busts",4,comfy flattering large bust,0.3182
Runs small for plus size girl,3,run small plus size girl,0.0
Mis-sized?,1,missized,0.0
The description is wrong,4,description wrong,-0.4767
It shrank after a couple of washing!,1,shrink couple washing,0.0
great quality and fit,5,great quality fit,0.765
Very detailed,4,detailed,0.0
Beautifully fitted sweater tunic,5,beautifully fit sweater tunic,0.7351
Not too spicy,4,spicy,0.0
Material to thin,2,material thin,0.0
Great Free People Dupe,5,great free people dupe,0.7096
Awful print,2,awful print,-0.4588
Really soft fabric,3,soft fabric,0.0
Not a premium shirt,2,premium shirt,0.0
Nice quality jeans,4,nice quality jean,0.4215
defective stitching in leg holes,2,defective stitch leg hole,-0.4404
Beautiful color and fabric,4,beautiful color fabric,0.5994
oily feel to material that shrinks a full size after washing,3,oily feel material shrink size washing,0.0
Don’t buy it,2,not buy,0.0
"Lovely dress, runs large",4,lovely dress run large,0.5859
XL was good fit for me size 40 W,4,xl good fit size 40 w,0.6597
Liked the print,4,like print,0.3612
Could've splurged on a wallet pocket for 30 bucks,2,ve splurge wallet pocket 30 buck,0.0
Good sweatshirt,4,good sweatshirt,0.4404
"Like the style, but quality is crap",2,like style quality crap,-0.0258
Good quality pants as usual,5,good quality pant usual,0.4404
La calidad del producto cuestionable,3,la calidad del producto cuestionable,0.0
I wouldn’t do construction in these. But they are great for lounging around the house.,4,not construction great lounge house,-0.5096
Dreamy vest,3,dreamy vest,0.0
"Not lined, but still cute.",5,line cute,0.4588
Nope.,1,nope,0.0
Very pleasing,5,pleasing,0.5267
Time For Pocket Revolution,2,time pocket revolution,0.0
Lightweight but cheap materials,1,lightweight cheap material,0.0
It works and the price was right.,4,work price right,0.0
Decent but a bit over priced,4,decent bit price,0.0
Warm with Style,5,warm style,0.2263
Workout,4,workout,0.0
Runs on the smaller side,3,run small,0.0
That's a nah,1,s nah,-0.1027
Absolutely Incorrect Sizing,1,absolutely incorrect sizing,0.0
Comfortable and well fitting,5,comfortable fitting,0.5106
Great jumper :),4,great jumper,0.6249
Just bought another,5,buy,0.0
Fun take on plaid,4,fun plaid,0.5106
Rolls up!,3,roll,0.0
"Same size, ran small",3,size run small,0.0
"Love style, not quality",3,love style quality,0.6369
Crop top or not?,4,crop,0.0
Wanted to love..,2,want love,0.6705
Lovely one piece,4,lovely piece,0.5859
Party like a rockstar,5,party like rockstar,0.6369
New staple,5,new staple,0.0
It's very cute,3,cute,0.4588
Beautiful idea...,3,beautiful idea,0.5994
"Pretty, but pricey for the fabric",4,pretty pricey fabric,0.4939
Sloppy looking but pretty colors,2,sloppy looking pretty color,0.4939
Was a little big,3,little big,0.0
There's something wrong with the arm hole,2,s wrong arm hole,-0.4767
Okay quality,3,okay quality,0.2263
Beautiful dress - runs long!,4,beautiful dress   run long,0.5994
Pilcro has gone so down in quality,2,pilcro go quality,0.0
Love the wide legs,4,love wide leg,0.6369
Really nice sweater coat,4,nice sweater coat,0.4215
Adorable--runs two sizes too small,5,adorablerun size small,0.0
super soft and comfy,4,super soft comfy,0.5994
"Cute off the shoulders, meh in reality",3,cute shoulder meh reality,0.4019
Navy oompa loompa,3,navy oompa loompa,0.0
Top Quality Product,5,quality product,0.0
comfartable,5,comfartable,0.0
"Won't. Let me exchange, Amazon is making it to difficult",4,will not let exchange amazon make difficult,-0.4621
Cute Summer Jean Shorts,4,cute summer jean short,0.4588
Slimfit,1,slimfit,0.0
"Beautiful aesthetic, crazy construction",3,beautiful aesthetic crazy construction,0.3612
Sleeves are too tight.,2,sleeve tight,0.0
Worth purchasing,4,worth purchasing,0.2263
Nice design but high maintenance fabric,3,nice design high maintenance fabric,0.4215
Pretty dress with problems,2,pretty dress problem,0.128
The colors are not as shown,3,color show,0.0
I purchased the purple color,4,purchase purple color,0.0
The fly is a lie,3,fly lie,0.0
True Levi Jean but miss-sized.,3,true levi jean misssize,0.4215
Wrong description!,1,wrong description,-0.4767
The front of the sweater is shorter and makes it too short,3,sweater short make short,0.0
Cute jacket… but strange chemical smell.,3,cute jacket strange chemical smell,0.296
Size fits perfect,5,size fit perfect,0.7351
Run a bit big but perfect to wear other items underneath.,5,run bit big perfect wear item underneath,0.5719
Grand daughter loves them so comfortable and soft,5,grand daughter love comfortable soft,0.8885
"Pretty, but totally uncomfortable!",4,pretty totally uncomfortable,0.079
Get a size down,5,size,0.0
ok but not great,4,ok great,0.743
Get a size bigger,3,size big,0.0
Needs pockets to be perfect.,3,need pocket perfect,0.5719
Order a size up. They run small.,3,order size run small,0.0
The fabric isnt my 1st choice,4,fabric not 1st choice,0.0
Soft and unique but short sleeves,4,soft unique short sleeve,0.0
Neckline bothers me,3,neckline bother,-0.34
"Great slouchy sweater, perfect color",5,great slouchy sweater perfect color,0.8316
Much smaller than expected.,1,small expect,0.0
Huge and then some!,3,huge,0.3182
Almost fabulous…and then I washed it,2,fabulousand wash,0.0
Excellent summer work pants,4,excellent summer work pant,0.5719
Bought two pairs of these and both ripped in the same spot near the back pocket.,1,buy pair rip spot near pocket,0.0
Fine blazer,4,fine blazer,0.2023
Super soft but can make you look frumpy,5,super soft look frumpy,0.5994
We love it,5,love,0.6369
Wanted to love but doesn't work,3,want love not work,0.6705
These stretch out horribly,2,stretch horribly,-0.5267
Scratchy fabric,1,scratchy fabric,0.0
NOT AS PICTURED,2,picture,0.0
Perdida de color después de 1 mes,1,perdida de color después de 1 me,0.0
Not impressed with durability,2,impress durability,0.4404
"Bellaaaa, el color hermoso y me quedó perfecta!!a",5,bellaaaa el color hermoso y quedó perfectaa,0.0
Fit son well,4,fit son,0.3612
Not the same 569 Jeans,1,569 jean,0.0
Cheap Material,2,cheap material,0.0
One-use only pants.  Holes after the first wash!!,1,oneuse pant   hole wash,0.0
I really like them,4,like,0.3612
Casual pretty!,4,casual pretty,0.6124
Wish it loved me back!!!!,4,wish love,0.7845
Not right,2,right,0.0
Order a size or 2 up,3,order size 2,0.0
Novelty,4,novelty,0.0
Bought my size but fit was a little loose and length was long.,2,buy size fit little loose length long,0.1263
NOT SHOULDER FRIENDLY,4,shoulder friendly,0.4939
Don't buy these,1,not buy,0.0
For the older generation,1,old generation,0.0
"Love the look, but hem rolls up",4,love look hem roll,0.6369
"Fun, funky but really long",4,fun funky long,0.4404
Like the jacket but fit too small,4,like jacket fit small,0.6124
Beautiful blue suitcoat for a slim boy,5,beautiful blue suitcoat slim boy,0.5994
"Like it, but don't love it.",3,like not love,-0.2187
White floral Color has more pink flowers than pic portrays,3,white floral color pink flower pic portray,0.0
Top is too shear with see through front,2,shear,0.0
Beautiful color (red/orange) and drape!,4,beautiful color redorange drape,0.5994
Color dye,2,color dye,0.0
Favorite new plaid,5,favorite new plaid,0.4588
it was a piece of crap.  rerurned immediately,1,piece crap   rerurne immediately,-0.3818
Look and fit,4,look fit,0.3612
Not a wow,1,wow,0.5859
Don’t buy!,1,not buy,0.0
Shrinks in wash,3,shrink wash,0.0
Channeling laura ingalls wilder,3,channel laura ingall wilder,0.0
Nice fall dress but needs the right body type,3,nice fall dress need right body type,0.4215
Cute but very tight,3,cute tight,0.4588
Favorite Work Pants,4,favorite work pant,0.4588
Itchy gold metallic thread,4,itchy gold metallic thread,-0.2732
"Why floreat? so perfect, yet so wrong!",3,floreat perfect wrong,0.1531
Tight in the waist,2,tight waist,0.0
Super cute!!!!,5,super cute,0.7845
Had to sew on a button that fell off when unpackaging,3,sew button fall unpackaging,0.0
Photo deceptive Quality appears good!,5,photo deceptive quality appear good,0.4404
Love/dislike,4,lovedislike,0.0
Haven't washed well,3,not wash,0.0
"Lovely dress, but long in even petite",4,lovely dress long petite,0.5859
kool,5,kool,0.0
They fit small order one size up,4,fit small order size,0.3612
Cheap Material,2,cheap material,0.0
Excellent fit,5,excellent fit,0.7351
"Boxy, and shrink horribly",2,boxy shrink horribly,-0.5267
Staple with a quirk,3,staple quirk,0.0
I only got pants without a jacket,1,get pant jacket,0.0
Great budget friendly option.,4,great budget friendly option,0.8074
Ruined in the wash,1,ruin wash,-0.5859
Fits your body type,4,fit body type,0.3612
This dress will stretch and droop down due to the weight of it.,5,dress stretch droop weight,0.0
Cute and eclectic,5,cute eclectic,0.4588
Such a pretty vintage style dress,5,pretty vintage style dress,0.4939
Nice additional to your wardrobe,5,nice additional wardrobe,0.4215
Better than i imagined,5,well imagine,0.2732
Peplum top,4,peplum,0.0
I'm a fan!,5,m fan,0.3182
Awesome pair of high waisted jeans,4,awesome pair high waiste jean,0.6249
Jury out for pilling (from previous commets),4,jury pille previous commet,0.0
Very short!!,3,short,0.0
Nice but order size up,4,nice order size,0.4215
Almost as long as pants,2,long pant,0.0
Needs to return it as it is defective.,1,need return defective,-0.4404
Comfy but not as thick as I’d like,3,comfy thick d like,0.3612
Order at least one size up on this casual blazer,3,order size casual blazer,0.2023
Arrived 2 weeks late,1,arrive 2 week late,0.0
"Thought they would be like yoga pants, they are more like leggings.  No thank you",1,think like yoga pant like legging   thank,0.7579
Obsessed with these.,5,obsess,-0.25
So cute but not for petite customers,5,cute petite customer,0.4588
"Fits well, color is rather different from images.",4,fit color different image,0.3612
"Material feel so comfortable, fit as expected, true size",4,material feel comfortable fit expect true size,0.8225
Widest Slim Fit Ever,2,wide slim fit,0.3612
"Love style, not quality",3,love style quality,0.6369
Oh my God I love it!,5,oh god love,0.743
Wrangler Mens Jeans Size 36x30,1,wrangl men jean size 36x30,0.0
Veraatile,4,veraatile,0.0
Great bikini top if you cna find the right fit,5,great bikini cna find right fit,0.765
Knock-off?,2,knockoff,0.0
Split at the pocket.,2,split pocket,0.0
It's a shirt,4,shirt,0.0
They are not real denim jeans! Too thin basic cloth.,1,real denim jean thin basic cloth,0.0
Great lace shorts.,4,great lace short,0.6249
Nice concept,4,nice concept,0.4215
Do not order…,1,order,0.0
Makes you look like a box,2,make look like box,0.3612
Sweater.,4,sweater,0.0
Great cords but are small,3,great cord small,0.6249
Bought my size but fit was a little loose and length was long.,2,buy size fit little loose length long,0.1263
"Good Fit, Poor Quality",4,good fit poor quality,0.3182
"Very comfortable, very pleased with the product.",5,comfortable pleased product,0.7351
Cute socks,4,cute sock,0.4588
Quality not as expected.,1,quality expect,0.0
The material is lightweight and comfortable.,4,material lightweight comfortable,0.5106
Winter white sweater,4,winter white sweater,0.0
Great pant except,3,great pant,0.6249
The 29 Regular is only 30' inseam not 32' (Black),3,29 regular 30 inseam 32 black,0.0
Fabric is a little stiff and did not drape well,4,fabric little stiff drape,0.0
Cute and comfortable peasant dress,4,cute comfortable peasant dress,0.743
Why rayon?,4,rayon,0.0
runs really big,3,run big,0.0
"Beautiful flowy, dreamy dress",5,beautiful flowy dreamy dress,0.5994
"Great look, poor fit",3,great look poor fit,0.5423
True Levi Jean but miss-sized.,3,true levi jean misssize,0.4215
Perfect transitional piece,5,perfect transitional piece,0.5719
"Cozy, comfy and cute",4,cozy comfy cute,0.4588
"Comfy, well made, not crazy about the fit",3,comfy crazy fit,0.0258
"Great every day, just needs a tuck...",4,great day need tuck,0.6249
I loved the cable knit but it’s so short at the waist,3,love cable knit short waist,0.6369
Thick and big.,1,thick big,0.0
Soft & comfortable but not high quality,4,soft   comfortable high quality,0.5106
Tts! thin fabric! just ok!,4,tts thin fabric ok,0.296
"Pretty, but a bit small",4,pretty bit small,0.4939
Lightweight & comfortable,5,lightweight   comfortable,0.5106
So super small,2,super small,0.5994
"Fun, unique romper",5,fun unique romper,0.5106
Homecoming 2021,4,homecome 2021,0.0
So glad i ordered a size up,4,glad order size,0.4588
great jeanes,4,great jeane,0.6249
"Beautiful sweater, poor sleeve design",3,beautiful sweater poor sleeve design,0.2023
Comically bad,2,comically bad,-0.5423
Very comfortable and flattering,5,comfortable flattering,0.6808
Would of given 5 stars but sweater was already unraveling when i got it.,3,give 5 star sweater unravel get,0.0
Lower In Quality Than Expected. Seems To Run Small. Okay for the price.,3,low quality expect run small okay price,-0.0516
"Cheap, thin fabric. too bad.",1,cheap thin fabric bad,-0.5423
Great fabric but really bad shape,1,great fabric bad shape,0.1531
Very warm & light,4,warm   light,0.2263
Almost as long as pants,2,long pant,0.0
Another great one from maeve,5,great maeve,0.6249
They are really beautiful but they feel cheap and are not comfortable,2,beautiful feel cheap comfortable,0.802
Lovely but armholes too revealing for me...,4,lovely armhole reveal,0.5859
Defective!,2,defective,-0.4404
Wrong measurements Of The Garment...,1,wrong measurement garment,-0.4767
Sizes not accurate,1,size accurate,0.0
"Attractive and good quality, but runs large",3,attractive good quality run large,0.7003
"Nice top, runs large",4,nice run large,0.4215
This is cut very small,3,cut small,-0.2732
It runs a little big,4,run little big,0.0
Not flattering on *me*,4,flattering,0.3182
"Fits upon arrival, but one wash shrinks 3 inches",3,fit arrival wash shrink 3 inch,0.3612
"Beautiful fabric, frumpy looking on me, however",3,beautiful fabric frumpy look,0.5994
Photo is misleading,3,photo mislead,0.0
Amazing canary yellow but a little transparent,5,amazing canary yellow little transparent,0.5859
Loving these jeans!,5,love jean,0.6369
Pants are very comfortable and they fit well,4,pant comfortable fit,0.7003
Way better than expected,4,way well expect,0.2732
We love all the others except of this one!,3,love,0.6369
Cozy dress that's still chic,5,cozy dress s chic,0.2732
I sized up,4,size,0.0
I got the wrong size.,4,get wrong size,-0.4767
Comfortable and unique,4,comfortable unique,0.5106
Not super flattering but definitely comfortable,4,super flattering definitely comfortable,0.9042
"Beautiful color, fabric; strange blousy fit",3,beautiful color fabric strange blousy fit,0.6808
"Cheaply made, disappointing",2,cheaply disappointing,-0.4939
Not even close to the size it was supposed to be,1,close size suppose,0.0
I absolutely love this set,5,absolutely love set,0.6697
Cute but not sure about fit,4,cute sure fit,0.7783
Accidentally sexy,4,accidentally sexy,0.25
Poor  Quality,3,poor   quality,-0.4767
"When they say slim sit, they mean it.",3,slim sit mean,0.0
"Pretty but heavy, buttonholes too small",2,pretty heavy buttonhole small,0.4939
"good fit, comfortable wear",5,good fit comfortable wear,0.8271
super comfy,5,super comfy,0.5994
Nice find--check out the extra photo!,4,nice findcheck extra photo,0.4215
Weird Material,2,weird material,-0.1779
Lovely cardigan,5,lovely cardigan,0.5859
Wrong size?,1,wrong size,-0.4767
Fits like a bag :(,4,fit like bag,0.6124
Dress is great for weekends,4,dress great weekend,0.6249
This is so flattering! Sexy and comfortable.,5,flattering sexy comfortable,0.8402
Triangles aren't my shape,2,triangle not shape,0.0
"Flattering, vintage feel",4,flattering vintage feel,0.3182
WARM,4,warm,0.2263
I like the material.i like the lenght.,5,like materiali like lenght,0.6124
"Extremely comfortable, but very unflattering",4,extremely comfortable unflattering,0.5563
So Soft,5,soft,0.0
Good but too expensive,3,good expensive,0.4404
Great top! One of my favorites.,5,great favorite,0.7964
Not true color,2,true color,0.4215
FYI,4,fyi,0.2023
Worn them twice,3,wear twice,0.0
"Don’t like the silky-like material, they’re shorter than the picture, and they’re a little sheer",2,not like silkylike material short picture little sheer,-0.2755
Great sweater dress!,5,great sweater dress,0.6249
"If you wear this in black, you will look like the Undertaker",1,wear black look like undertaker,0.3612
Wanted to love these...but...meh...,3,want love thesebutmeh,0.6705
Maybe we should advertise the pen ink???,1,maybe advertise pen ink,0.0
A little itchy for me,3,little itchy,-0.204
These are perfect!,5,perfect,0.5719
Summery 20s dress,4,summery 20 dress,0.0
Not what it looks like,2,look like,0.3612
Very high-rise,2,highrise,0.0
"Super cute--casual top, waffle texture",5,super cutecasual waffle texture,0.5994
Sparkly fun,4,sparkly fun,0.5106
"Pretty good and comfort, larger than normal size",4,pretty good comfort large normal size,0.8225
Too big with no structure,3,big structure,0.0
Too small and odd looking,3,small odd look,-0.3182
Adorable little vest,4,adorable little vest,0.4939
Really poor quality,1,poor quality,-0.4767
Seam coming undone,3,seam come undone,0.0
"Fits well, to size and very comfortable",5,fit size comfortable,0.7003
Very low cut...and a weird snap,2,low cutand weird snap,-0.4215
Odd color...,4,odd color,-0.3182
Silk meadow mini,3,silk meadow mini,0.0
Its completely comfortable on the body,5,completely comfortable body,0.5563
Shapely sweater,5,shapely sweater,0.0
It looks nice,4,look nice,0.4215
Cute jacket but is too big.,4,cute jacket big,0.4588
Nice jacket.  Heavier than the listed weight,3,nice jacket   heavy list weight,0.4215
Best for tallettes,4,well tallette,0.2732
Wear at home,3,wear home,0.0
More skinny than slim fit,3,skinny slim fit,0.3612
Nice warm tights,4,nice warm tight,0.5719
My Favorite Dress,5,favorite dress,0.4588
Doesn’t fit as expected,1,not fit expect,-0.2755
Not the quality I was expecting,2,quality expect,0.0
Sweater fits beautifully,5,sweater fit beautifully,0.7351
Nothing like the picture. Cheap quality!,1,like picture cheap quality,0.3612
"Beautiful, but tight",4,beautiful tight,0.5994
Great design and color,5,great design color,0.6249
This is a true pumpkin orange,3,true pumpkin orange,0.4215
Too roomy and kind of matronly looking,3,roomy kind matronly look,0.5267
Defective!,2,defective,-0.4404
Too itchy for me,4,itchy,-0.2732
Great summer-fall sweater,4,great summerfall sweater,0.6249
Cute but just not right,4,cute right,0.4588
Slainte,4,slainte,0.0
"Great out of package, but... shrank after one wash and air-dry.",1,great package shrank wash airdry,0.6249
Its OK but not for me,3,ok,0.296
A 3XL fits like a 2XL.,3,3xl fit like 2xl,0.6124
Pretty detail,4,pretty detail,0.4939
Wrong size wrong color,1,wrong size wrong color,-0.7351
La talla fue unos cm. Más grande y largo pero está lindo,3,la talla fue unos cm más grande y largo pero está lindo,0.0
Fit large,2,fit large,0.3612
Very comfortable shorts,4,comfortable short,0.5106
Not Slim. Leg opening larger than a size 9 shoes,1,slim leg opening large size 9 shoe,0.0
Simple but fun top,4,simple fun,0.5106
Only lasted a day!,1,last day,0.0
Not for the tall...,4,tall,0.0
Not great for curves,2,great curve,0.6249
"A bit large, especially waist band.",3,bit large especially waist band,0.0
"Quality, right hand pocket liner not sewn together.  Small for size.",2,quality right hand pocket liner sew   small size,0.4939
Very unique top,4,unique,0.0
I don't get it...,3,not,0.0
Weightless and comfortable,5,weightless comfortable,0.5106
did not shrink much after hot was dry,4,shrink hot dry,0.0
On the fence about this one,4,fence,0.0
Basic tee,4,basic tee,0.0
RUNS SMALL,3,run small,0.0
Order 2 sizes down,2,order 2 size,0.0
Baby got back,4,baby get,0.0
Square,3,square,0.0
"Close, but not quite...",3,close,0.0
Lovely color and fabric,4,lovely color fabric,0.5859
"Soft, Light and comfy",5,soft light comfy,0.0
Great dress unless you are pear shaped,3,great dress pear shape,0.6249
CUIDADO CON LA TALLA,2,cuidado con la talla,0.0
"Disappointed...like the ""skirt"" look in back",4,disappointedlike skirt look,0.0
Pretty dress but not for me,3,pretty dress,0.4939
The color green is not as pictured,2,color green picture,0.0
Good for any occasion.,3,good occasion,0.4404
Great fitting comfort,5,great fitting comfort,0.765
"Huge, long and baggy",2,huge long baggy,0.3182
Comfortable but boxy,4,comfortable boxy,0.5106
Nothing fits right,3,fit right,0.3612
Terrible quality and fit,1,terrible quality fit,-0.1531
"Great Jeans, tons of stretch, a bit tight",4,great jean ton stretch bit tight,0.6249
This top runs very large,3,run large,0.0
Poor quality - tore up the entire back of dress,1,poor quality   tear entire dress,-0.4767
Bad fit and bad construction,1,bad fit bad construction,-0.6705
Expensive but beautiful craftsmenship,4,expensive beautiful craftsmenship,0.5994
Super soft but stretch,4,super soft stretch,0.5994
Comfortable but not super-flattering on me,4,comfortable superflattere,0.5106
Comfortable leggings,4,comfortable legging,0.5106
What a disappointment!!,1,disappointment,-0.5106
They have changed quality,2,change quality,0.0
Cheap Material,2,cheap material,0.0
"""beach business""",5,beach business,0.0
So wanted to love this but...,2,want love,0.6705
Lo quiero más pequeño,5,lo quiero más pequeño,0.0
I happen to like an oversized jacket so I intentionally bought this a size too big,5,happen like oversized jacket intentionally buy size big,0.3612
Arms are tight,4,arm tight,0.0
"Comes to waist, not hip...",3,come waist hip,0.0
Nice flowy summer tank,4,nice flowy summer tank,0.4215
Simple but feminine design,5,simple feminine design,0.0
Jacket is as advertised. Good quality Jacket.,5,jacket advertise good quality jacket,0.4404
Really great fit,5,great fit,0.765
Is very soft!,4,soft,0.0
A little long but so comfortable,4,little long comfortable,0.4627
This top runs very large,3,run large,0.0
I ordered a black jacket and I got a gray jacket.,2,order black jacket get gray jacket,0.0
Sizing is inconsistent,3,size inconsistent,0.0
Disappointed :(,1,disappoint,-0.4019
This is not fleece,1,fleece,0.0
sizing way off,2,size way,0.0
Horrible Quality,1,horrible quality,-0.5423
"Love, comment on stone color sizing",4,love comment stone color size,0.6369
Cute vest,5,cute vest,0.4588
Terrible zipper!,1,terrible zipper,-0.4767
Fabric fantastic,4,fabric fantastic,0.5574
So wanted to love this but...,2,want love,0.6705
Well worth the purchase!,5,worth purchase,0.2263
Comfortable and didn't shrink,5,comfortable not shrink,0.5106
Not knee length,2,knee length,0.0
Perfect maternity top!,2,perfect maternity,0.5719
Petite proportions way off,2,petite proportion way,0.0
Nice tee!,4,nice tee,0.4215
Not flattering if you want to look slim.,2,flattering want look slim,0.3818
"Ice cream, you scream!",2,ice cream scream,-0.4019
Best pants for BIG guys,5,good pant big guy,0.4404
Not for people with thick thighs,3,people thick thigh,0.0
Very high-rise,2,highrise,0.0
Run extremely small,2,run extremely small,0.0
"It's just not flattering like in the photo - has defects, even if you get the right size",1,flattering like photo   defect right size,0.34
Info,4,info,0.0
The front is awkward,3,awkward,-0.1531
Poor quality materials and sizes are too small,2,poor quality material size small,-0.4767
Seems too relaxed to me,3,relaxed,0.4939
Falls flat,3,fall flat,0.0
CAMEL TOE ALERT,3,camel toe alert,0.296
Way way way to small can't be a medium!,1,way way way small not medium,0.0
They're Levi's,4,levis,0.0
Great go to!,4,great,0.6249
Husband didn’t like the length prefers something shorter,5,husband not like length prefer short,-0.2755
"Boxy, navy color looks darker than pictured",3,boxy navy color look dark picture,0.0
"Terrible product,  not as pictured and they shirk HORRENDOUSLY!",1,terrible product   picture shirk horrendously,-0.7184
Beautiful dress - runs huge!,5,beautiful dress   run huge,0.7351
Cute and cozy,3,cute cozy,0.4588
"Runs large, muted colors",3,run large mute color,0.0
Best flexible Jeans available.,5,good flexible jean available,0.5859
"Beautiful, unique top",5,beautiful unique,0.5994
Men’s lounging set,4,men lounge set,0.0
if you’re 5’4 and around 115lbs just know these are for you!,2,54 115lbs know,0.0
Buttery soft,5,buttery soft,0.0
Super cute but…,4,super cute,0.7845
Cute dress but don’t like material,4,cute dress not like material,0.224
Ridiculously Big and Uncomfortable,1,ridiculously big uncomfortable,-0.6124
Could've splurged on a wallet pocket for 30 bucks,2,ve splurge wallet pocket 30 buck,0.0
Sizing Is Different,3,size different,0.0
Very strange,3,strange,-0.2023
Good value classic fit slacks,4,good value classic fit slack,0.7783
"I had to tailor the length, too long.",4,tailor length long,0.0
Expensive circus-wear,1,expensive circuswear,0.0
Like it but it is too loose,3,like loose,0.0516
