,Review,Rating,Review_clean,sentiment
66,"Lovely top, not lovely shape",3,lovely lovely shape,0.8225
67,"Wonderfully made, poorly designed for busty gals",3,wonderfully poorly design busty gal,0.5994
68,Cute vest but...,4,cute vest,0.4588
69,Stylish and versatile!,5,stylish versatile,0.0
70,You'll smile on a humid summer's day,5,ll smile humid summer day,0.3612
71,A new staple for my wardrobe,4,new staple wardrobe,0.0
72,Feminine alternative to your shapeless puffer,4,feminine alternative shapeless puffer,0.0
73,Love. love. love this skirt!!,5,love love love skirt,0.9274
74,Pretry top,5,pretry,0.0
75,Great classic,5,great classic,0.6249
76,"Beautiful, but scratchy",3,beautiful scratchy,0.5994
77,"So pretty, a bit long and bigger than what i read",5,pretty bit long big read,0.4939
78,A beautiful skirt!,5,beautiful skirt,0.5994
79,Gorgeous skirt!,5,gorgeous skirt,0.6124
80,Not impressed...,3,impress,0.4404
81,Fair,3,fair,0.3182
82,Great colors but....,3,great color,0.6249
83,Australian sizing!!,3,australian sizing,0.0
84,Vibrant metallic,4,vibrant metallic,0.5267
85,So sad not mine,4,sad,-0.4767
86,"Scratchy, uncomfortable top",1,scratchy uncomfortable,-0.3818
87,Yes it's scratchy but it can work out!,4,yes scratchy work,0.4019
88,Antoher beautiful maeve dress!,5,antoher beautiful maeve dress,0.5994
89,Comfy and adorable!,5,comfy adorable,0.4939
90,Beautiful fabric and style,4,beautiful fabric style,0.5994
91,Wonderful but going back,5,wonderful go,0.5719
92,"Comfy, casual shirt",4,comfy casual shirt,0.2023
93,Perfect casual sweater,5,perfect casual sweater,0.6705
94,Perfect for warmer climates,5,perfect warm climate,0.6808
95,Need petite,5,need petite,0.0
96,Completes so many outfits!,5,complete outfit,0.0
97,Not as pictured.,2,picture,0.0
98,"Fits strange, flimsy material",2,fit strange flimsy material,0.1779
99,"Nice color, love the snap buttons",4,nice color love snap button,0.7906
100,Modern comfort,5,modern comfort,0.3612
101,"It's gorgeous, but...",4,gorgeous,0.6124
102,Nice but too thin,2,nice thin,0.4215
103,Lovely and feminine,5,lovely feminine,0.5859
104,A great piece,5,great piece,0.6249
105,Love everything about this skirt,5,love skirt,0.6369
106,Perfect comfy now top!,5,perfect comfy,0.5719
107,Huuuuge,3,huuuuge,0.0
108,Not worth cost,3,worth cost,0.2263
109,Tunic doesn't look like i am covering up,5,tunic not look like cover,-0.2755
110,Runs small too bad....,3,run small bad,-0.5423
111,Skirt dimensions are off,4,skirt dimension,0.0
112,Comfort & style,5,comfort   style,0.3612
113,My new favorite dress,5,new favorite dress,0.4588
114,Autumn fever,5,autumn fever,0.0
115,Very small,2,small,0.0
116,Too cute to pass up!,5,cute pass,0.4588
117,Falling goddess,5,fall goddess,0.0
118,Pretty and comfy,4,pretty comfy,0.4939
119,Perfect skirt,5,perfect skirt,0.5719
120,"Easy, comfy & cute",5,easy comfy   cute,0.7096
121,Great crop pant,4,great crop pant,0.6249
122,Why so long?,4,long,0.0
123,"Runs large, bohemian",5,run large bohemian,0.0
124,"Wonderful weight for summer, flattering",5,wonderful weight summer flattering,0.7184
125,Light & large,2,light   large,0.0
126,"Must have, right on trend, but still classic",5,right trend classic,0.0
127,Pretty but runs large!,5,pretty run large,0.4939
128,Comfortable & stylish crop pants,5,comfortable   stylish crop pant,0.5106
129,Cozy sunday!,5,cozy sunday,0.0
130,Fun change from the norm,5,fun change norm,0.5106
131,Perfect for mediterenian summer,4,perfect mediterenian summer,0.5719
132,"Loved this, then washed it twice and it fell apart",1,love wash twice fall apart,0.6369
133,Recommend but not for me,3,recommend,0.3612
134,Really nice sweater coat,4,nice sweater coat,0.4215
135,Super cute pants,5,super cute pant,0.7845
136,"Cute, casual dress",5,cute casual dress,0.5859
137,Stylish and understated elegant,5,stylish understate elegant,0.4767
138,Pockets!,4,pocket,0.0
139,Fits like a maternity top,3,fit like maternity,0.6124
140,Love this coat!,5,love coat,0.6369
141,Adorable and flattering,5,adorable flattering,0.6705
142,"Cute, but no go!",3,cute,0.4588
143,Pretty denim jacket,5,pretty denim jacket,0.4939
144,Amazing peach color!,5,amazing peach color,0.5859
145,Perfection.,5,perfection,0.5719
146,Nice quality but too short for my tall frame,4,nice quality short tall frame,0.4215
147,"Cute top, but back is more of a jersey material",4,cute jersey material,0.4588
148,Perfect jean jacket,5,perfect jean jacket,0.5719
149,Great asset,5,great asset,0.765
150,Comfy and fun!,5,comfy fun,0.5106
151,Great tee,5,great tee,0.6249
152,Sooooooooo cute!,5,sooooooooo cute,0.4588
153,Peplum hem tee,3,peplum hem tee,0.0
154,So comfortable and chic,5,comfortable chic,0.6597
155,Perfect sweatshirt,5,perfect sweatshirt,0.5719
156,Clever white edges,4,clever white edge,0.4588
157,"Not much structure, boxy...",2,structure boxy,0.0
158,Almost perfect denim jacket,5,perfect denim jacket,0.5719
159,Super nice,5,super nice,0.7717
160,I wish it were alless stiff denim. runs small,3,wish alless stiff denim run small,0.4019
161,Terrific denim jacket,5,terrific denim jacket,0.4767
162,Cute versatile culottes,5,cute versatile culotte,0.4588
163,My new favorite denim jacket,5,new favorite denim jacket,0.4588
164,Favorite jean jacket,5,favorite jean jacket,0.4588
165,Perfect denim jacket,5,perfect denim jacket,0.5719
166,Best dress ever!,5,good dress,0.4404
167,Stylish jacket,3,stylish jacket,0.0
168,"Stunning, flattering, and versatile.",5,stunning flattering versatile,0.5994
169,Pretty blouse!,5,pretty blouse,0.4939
170,Too distressed,4,distressed,-0.4215
171,Stunning...,5,stunning,0.3818
172,Runs large and zipper sticks,3,run large zipper stick,0.0
173,Very unflattering,3,unflattering,0.0
174,Love this blouse,5,love blouse,0.6369
175,Lovely printed blouse,5,lovely print blouse,0.5859
176,Loveee,5,loveee,0.0
177,My favorite new blouse,5,favorite new blouse,0.4588
178,A standout,5,standout,0.0
179,Cuter is person,4,cut person,-0.2732
180,Airy and flattering,5,airy flattering,0.3182
181,Really good quality tee!,5,good quality tee,0.4404
182,Cutest vest,5,cut vest,-0.2732
183,"Beautiful, vintage feel, delicate beadwork",5,beautiful vintage feel delicate beadwork,0.6249
184,Very interesting design,5,interesting design,0.4019
185,"Nice basic piece, will get a lot of wear.",5,nice basic piece lot wear,0.4215
186,Soft patterned long vest,5,soft pattern long vest,0.0
187,Beautiful and timeless,5,beautiful timeless,0.5994
188,"Cute top, but not for me",3,cute,0.4588
189,So disappointed! please fix it!,2,disappointed fix,-0.4767
190,Ruffled buttondown,4,ruffle buttondown,0.0
191,"Exquisite blouse, runs huge",5,exquisite blouse run huge,0.3182
192,Sweater not a coat,2,sweater coat,0.0
193,Soft sweater,5,soft sweater,0.0
194,Could have been cute...,1,cute,0.4588
195,Worth the sale price,5,worth sale price,0.2263
197,"Nice, runs small and short",3,nice run small short,0.4215
198,Amazing sweatercoat!,4,amazing sweatercoat,0.5859
199,Nice thin sweatshirt,5,nice thin sweatshirt,0.4215
200,That special lauer,5,special lauer,0.4019
201,Looks better when tried on; very cute,5,look well try cute,0.6249
202,"Romantic print, elegant & beautiful - i love it!",5,romantic print elegant   beautiful   love,0.9313
203,Positively agree,5,positively agree,0.7096
204,Love the print & style,5,love print   style,0.6369
205,So cool,5,cool,0.3182
206,Modern black and white,5,modern black white,0.0
207,Subdued sexy,5,subdue sexy,0.5267
208,So sexy,4,sexy,0.5267
209,One of my favorite pieces for night,5,favorite piece night,0.4588
210,Elegant and eye-catching,5,elegant eyecatche,0.4767
211,Work-appropriate lace,4,workappropriate lace,0.0
212,Looks are deceiving,3,look deceive,-0.4019
213,Terrific sweater with great detail; runs large,5,terrific sweater great detail run large,0.802
214,Pretty/different style,4,prettydifferent style,0.0
215,Poorly executed,2,poorly execute,0.0
216,Great with leggings!,4,great legging,0.6249
217,Bad quality.,1,bad quality,-0.5423
218,Flattering and fun!,4,flattering fun,0.6808
219,Lovely fabric but tiny hips,3,lovely fabric tiny hip,0.5859
220,"Lovely dress, small top, different color",4,lovely dress small different color,0.5859
221,Too big/so soft,3,bigso soft,0.0
222,Not sure about this one,3,sure,0.3182
223,"Comfy, but not made to last",3,comfy,0.0
224,Loving these jeans!,5,love jean,0.6369
225,Lovely but runs big,4,lovely run big,0.5859
226,Possibly the cutest skirt ever!,5,possibly cut skirt,-0.2732
227,Comfortable and dressy,5,comfortable dressy,0.5106
228,"Soft, feminine, versatile",5,soft feminine versatile,0.0
229,Stylish option good for petites,4,stylish option good petite,0.4404
230,Sweet casual,5,sweet casual,0.5859
231,A perfect investment,5,perfect investment,0.5719
232,This dress is gorgeous!,5,dress gorgeous,0.6124
233,"Great dress, rough zipper",5,great dress rough zipper,0.6249
234,Cute & comfy top,5,cute   comfy,0.4588
235,Flattering and great buy on sale!,4,flattering great buy sale,0.7506
236,I love this shirt,5,love shirt,0.6369
237,"Pretty pattern, weird fit",3,pretty pattern weird fit,0.6124
238,Easy and stylish,5,easy stylish,0.4404
239,Small boobies only,3,small booby,0.0
240,Love the lace up design!,4,love lace design,0.6369
241,Beautiful and versatile top!,5,beautiful versatile,0.5994
242,So pretty and soft,5,pretty soft,0.4939
243,Great for work or fun,4,great work fun,0.8126
244,Perfect shirt for work or night out.,4,perfect shirt work night,0.5719
245,Flattering tee,4,flattering tee,0.3182
246,So soft and comfy and fit for yoga!,4,soft comfy fit yoga,0.3612
247,Funky and classy,5,funky classy,0.3612
248,Really cute!,5,cute,0.4588
249,Love. this. jacket.,5,love jacket,0.6369
250,Bunches up weirdly in the front,4,bunch weirdly,-0.296
251,Red tee,5,red tee,0.0
252,So much better irl,5,well irl,0.2732
253,Ultimately unimpressed,3,ultimately unimpressed,-0.34
254,Vibrant red color,5,vibrant red color,0.5267
255,Looks fine if you don't move your arms.,2,look fine not arm,0.2023
256,Great plaid!,4,great plaid,0.6249
257,In love with this shirt,5,love shirt,0.6369
258,The most comfortable pants ever,4,comfortable pant,0.5106
259,Perfect top for work,4,perfect work,0.5719
260,"Overall, i like it, but some sizing issues...",4,overall like size issue,0.3612
261,"Very pretty, boho chic",5,pretty boho chic,0.6486
262,Great too but not for women who have a large bust.,3,great woman large bust,0.6249
263,Cute slip but very body hugging,4,cute slip body hug,0.7269
264,Lovely romantic blouse,5,lovely romantic blouse,0.7579
265,Extra fabric in back adds a lot,5,extra fabric add lot,0.0
266,Great sweater dress!,5,great sweater dress,0.6249
267,"Love, love this flattering dress",5,love love flattering dress,0.8934
268,"Cute, but cheap",3,cute cheap,0.4588
269,Gorgeous top with a hint of pizazz,5,gorgeous hint pizazz,0.6124
270,Else lingerie jardin silk bralette review,5,lingerie jardin silk bralette review,0.0
271,Super cute and flattering too,5,super cute flattering,0.8481
272,Very cute jacket!,5,cute jacket,0.4588
273,"Great, but size down.",4,great size,0.6249
274,Not for the busty,3,busty,0.0
275,Pretty adn flattering,5,pretty adn flattering,0.6705
276,Love everything about htis dress,5,love htis dress,0.6369
277,Fun mix of colors in the grey version,5,fun mix color grey version,0.5423
278,So pretty and great style,5,pretty great style,0.8074
279,Retailer like it used to be!,5,retailer like,0.3612
280,For the shorter girls,4,short girl,0.0
281,Still love it even if...,4,love,0.6369
282,Pretty spring flowers,5,pretty spring flower,0.4939
283,"Cute concept, fits weird",2,cute concept fit weird,0.5859
284,Nice but short,3,nice short,0.4215
285,Pretty top for work days,4,pretty work day,0.4939
286,Itchytown,2,itchytown,0.0
287,"Feminine, flattering, versatile",5,feminine flattering versatile,0.3182
288,"So cute, but weird fit",3,cute weird fit,0.5859
289,"Comfy, cute, and colorful.",4,comfy cute colorful,0.4588
290,Best fitting dress,5,well fitting dress,0.2732
291,"Gorgeous, flattering blouse!",5,gorgeous flattering blouse,0.743
292,Cropped and itchy,2,crop itchy,-0.2732
293,Cute but skip the petite unless you are very short,5,cute skip petite short,0.4588
294,Elegant and well made,5,elegant,0.4767
295,Beautiful blouse; very flattering,4,beautiful blouse flattering,0.7351
296,Weird color and fit,2,weird color fit,0.2023
297,Looks better on,5,look well,0.2732
298,Fun tag sale find,5,fun tag sale find,0.5106
299,The right kind of casual,5,right kind casual,0.6369
300,Easy jacket,3,easy jacket,0.4404
301,Great dress or tunic,5,great dress tunic,0.6249
302,Top coat,5,coat,0.0
303,"Love, love, love this tunic!",5,love love love tunic,0.9274
304,Sleeves are really small,3,sleeve small,0.0
305,Perfect top!,5,perfect,0.5719
306,Comfortable and chic,4,comfortable chic,0.6597
307,Perfect balance of classy and sexy,5,perfect balance classy sexy,0.875
308,"Cute fit, perfect length",5,cute fit perfect length,0.8481
309,Comfortable and great looking,5,comfortable great look,0.8126
310,Beautiful blouse but....,3,beautiful blouse,0.5994
311,Feminine and pretty,5,feminine pretty,0.4939
312,Not a fan - childish,3,fan   childish,0.0258
313,Runs large through the chest...,4,run large chest,0.0
314,Love! my new favorite jacket!,5,love new favorite jacket,0.802
315,Love the lace detail,4,love lace detail,0.6369
316,A must buy!!,5,buy,0.0
317,Prety dress that fits true to size,4,prety dress fit true size,0.6486
318,"Very nice, just as pictured",5,nice picture,0.4215
319,Glad i took a chance on these!,4,glad take chance,0.6124
320,Adorable top!!,5,adorable,0.4939
321,Comfortable and unique,4,comfortable unique,0.5106
322,Fits so well!,5,fit,0.3612
323,Stunning special occasion dress,5,stunning special occasion dress,0.6486
324,"Comfortable, soft",4,comfortable soft,0.5106
325,Not for us chesty girls!,3,chesty girl,0.0
326,Fit is not cute,2,fit cute,0.6705
327,Do not like the front,2,like,0.3612
329,Cute outfit,4,cute outfit,0.4588
330,So good,5,good,0.4404
331,Classy little dress,4,classy little dress,0.4404
332,Awkward style,2,awkward style,-0.1531
333,Unique piece / boho chic,5,unique piece   boho chic,0.2732
334,My favorite black top.,4,favorite black,0.4588
335,Different than the rest !!!,5,different rest,0.0
336,Slimmingly perfect!,5,slimmingly perfect,0.5719
337,Too bad!,3,bad,-0.5423
338,"Very cute, snug fit",4,cute snug fit,0.6705
339,Surprisingly retro-adorable,4,surprisingly retroadorable,0.296
340,Western look,5,western look,0.0
341,Gorgeous quality knit,5,gorgeous quality knit,0.6124
342,"Wanted to love, but sadly will return.",1,want love sadly return,0.4019
343,Great top!!,5,great,0.6249
344,Lovely but smells like last purchaser's deodorant.,5,lovely smell like purchaser deodorant,0.743
345,Interesting but awkward to actually wear,3,interesting awkward actually wear,0.2732
346,"Beautiful, but a few caveats",4,beautiful caveat,0.5994
347,Fun jeggings,4,fun jegging,0.5106
348,Loved in theory,3,love theory,0.6369
349,Great casual dress to throw on,4,great casual dress throw,0.7096
350,Plaid bomb pairs fabulous with everything fall!,5,plaid bomb pair fabulous fall,0.0516
351,Great staple!,5,great staple,0.6249
352,Perfect fall jacket,5,perfect fall jacket,0.5719
353,Lounging dress,4,lounge dress,0.0
354,Functional casual dress,5,functional casual dress,0.2023
355,Best bathing suit!,5,good bathing suit,0.4404
356,Overpriced but so comfortable,4,overpriced comfortable,0.5106
357,My new favorite swim suit,5,new favorite swim suit,0.4588
358,Perfect suit,5,perfect suit,0.5719
359,Luxurious sleepwear,4,luxurious sleepwear,0.0
360,Please restock!!!,5,restock,0.0
361,Cute and unique!,4,cute unique,0.4588
362,Great suit for busy moms!,5,great suit busy mom,0.6249
363,Boxy and short,1,boxy short,0.0
364,Wanted to love these...but...meh...,3,want love thesebutmeh,0.6705
365,"Vibrant, effortless, beautiful",5,vibrant effortless beautiful,0.8074
366,Great basic pants!,5,great basic pant,0.6249
367,Great staple,5,great staple,0.6249
368,Beach cover-up,4,beach coverup,0.0
369,What a waste,1,waste,-0.4215
370,Wonderful swimsuit,5,wonderful swimsuit,0.5719
371,Gerat pants,5,gerat pant,0.0
372,Great pants that don't get baggy,5,great pant not baggy,0.6249
373,The perfect swimsuit - functional and stunning!,5,perfect swimsuit   functional stunning,0.743
374,Not what i had hoped for...,2,hope,0.4404
375,Perfection,5,perfection,0.5719
376,Thick and beautiful sweater!,5,thick beautiful sweater,0.5994
377,"Loungewear, not outdoor wear",2,loungewear outdoor wear,0.0
378,Amazing suit!,5,amazing suit,0.5859
379,Uniform top,5,uniform,0.0
380,Perfect 24/7,5,perfect 247,0.5719
381,Super comfy and great fit!,5,super comfy great fit,0.8885
382,Cute slim pants,5,cute slim pant,0.4588
383,Cute and comfortable swimsuit!,5,cute comfortable swimsuit,0.743
384,Lacks support,4,lack support,0.1027
385,Cute but didn't work for me :(,3,cute not work,0.4588
386,Great price for,5,great price,0.6249
387,"Great material, awkward length",3,great material awkward length,0.5423
388,"Love these pants, highly recommend!",5,love pant highly recommend,0.7902
389,Great skirt!,5,great skirt,0.6249
390,Simple but different.,4,simple different,0.0
391,Worth it,5,worth,0.2263
392,So many compliments,5,compliment,0.4767
393,Great staple sweater!,5,great staple sweater,0.6249
394,The worst,1,bad,-0.5423
395,"Fun, casual pant, perfect for summer and early fal",5,fun casual pant perfect summer early fal,0.8316
396,"Beautiful dress, weird sizing",4,beautiful dress weird sizing,0.4939
397,Started out perfect,3,start perfect,0.5719
398,Perfect layering sweater,5,perfect layering sweater,0.5719
399,Great neckline & good xl fit,4,great neckline   good xl fit,0.8591
400,Simple luxury,5,simple luxury,0.0
401,"Beautiful print, bad fit",3,beautiful print bad fit,0.4404
402,"Great slouchy sweater, perfect color",5,great slouchy sweater perfect color,0.8316
403,Huge dress,2,huge dress,0.3182
404,The tee i have always been looking for!,5,tee look,0.0
405,The softest leggings,5,soft legging,0.0
406,Very hip,4,hip,0.0
407,Still cute despite...,4,cute despite,0.4588
408,Great color!,5,great color,0.6249
409,More colorways please =d,5,colorway d,0.0
410,New favorite,5,new favorite,0.4588
411,Everyday winter t updated,5,everyday winter t update,0.0
412,Darling and sophisticated,5,darling sophisticated,0.8126
413,Adorable t-shirt,5,adorable tshirt,0.4939
414,Casual comfort with style,4,casual comfort style,0.5106
415,"Pretty dress, lots of fabric",4,pretty dress lot fabric,0.4939
416,Surprisingly heavy,3,surprisingly heavy,0.296
417,Casual and comforable. i love it,5,casual comforable love,0.7184
418,Love the neckline,5,love neckline,0.6369
419,Amazingly cute but runs huge!,4,amazingly cute run huge,0.7056
420,Ok suit,3,ok suit,0.296
421,Perfect for cool summer evenings,5,perfect cool summer evening,0.7184
422,Cute tee with fun neckline,4,cute tee fun neckline,0.743
423,Beautiful and unique but didn't work for me,4,beautiful unique not work,0.5994
424,Stinky sweater!,1,stinky sweater,-0.3612
425,Nice spin on an everyday t-shirt,4,nice spin everyday tshirt,0.4215
426,Elegant retro sweater tee,5,elegant retro sweater tee,0.4767
427,"Beautiful blue, but....",3,beautiful blue,0.5994
428,Just perfect!,5,perfect,0.5719
429,"Comfortable, fashionable, throw on over anything",5,comfortable fashionable throw,0.5106
430,Perfer beige over pink,3,perfer beige pink,0.0
431,So very disappointed,2,disappointed,-0.4767
432,"Nice, comfy sweater",5,nice comfy sweater,0.4215
433,"Cute, but didnt love",3,cute not love,-0.0946
434,Great for hot summers,4,great hot summer,0.6249
435,Love!!,5,love,0.6369
436,Finally found nice leggings!,4,finally find nice legging,0.4215
437,Gorgeous on the hanger but not for me,3,gorgeous hanger,0.6124
438,Primula cocoon cardi,2,primula cocoon cardi,0.0
439,"Beautiful, runs very large",4,beautiful run large,0.5994
440,Awful if you have any sort of curves!,2,awful sort curve,-0.4588
441,Armholes huge,2,armhole huge,0.3182
442,Modern take on 1950's vibe,5,modern 1950 vibe,0.0
443,Most beautiful sweater that i own!,5,beautiful sweater,0.5994
444,Imperial garden,5,imperial garden,0.0
445,No slip and totally sheer dress,2,slip totally sheer dress,0.0
446,Ordinary for the price,1,ordinary price,0.0
447,Didn't work on my pear shape,3,not work pear shape,0.0
448,Good basic - but sheer,4,good basic   sheer,0.4404
449,Effortlessly chic!,5,effortlessly chic,0.2732
450,Don't trust anyone,4,not trust,-0.4023
451,Sheet,3,sheet,0.0
452,Happyinpdx,5,happyinpdx,0.0
453,Couldn't get past the itch factor,3,not past itch factor,0.0
454,Stunning! just buy a belt with it.,5,stunning buy belt,0.3818
455,If only it looked like the photo.....,1,look like photo,0.3612
456,Not as pretty in person,3,pretty person,0.4939
457,Feminine and tts,5,feminine tt,0.0
458,"Size down - loose,, flowing material - love it!",5,size   loose flow material   love,0.4404
459,Warm and chic,4,warm chic,0.4588
460,Perfect tank to be dressed up or down,5,perfect tank dress,0.5719
461,Beautiful sweater!,5,beautiful sweater,0.5994
462,Wanted to love it - but . . .,2,want love     ,0.6705
463,Shrinks!!!,2,shrink,0.0
464,Loved this top,5,love,0.6369
465,Very plain on the front,3,plain,0.0
466,Might be great if you have a bun in the oven!,2,great bun oven,0.6249
467,Pretty but just okay when worn.,3,pretty okay worn,0.4404
468,Great winter tunic,4,great winter tunic,0.6249
469,Not a great design,2,great design,0.6249
470,V-neck t,3,vneck t,0.0
471,Super cute- order a size down,5,super cute order size,0.7845
472,Nice casual tunic-dress,5,nice casual tunicdress,0.5574
473,Not as bad as previously reviewed,4,bad previously review,-0.5423
474,Love the black,5,love black,0.6369
475,Weird shape.,2,weird shape,-0.1779
476,Cute but short,4,cute short,0.4588
477,"Too long, poor quality",3,long poor quality,-0.4767
478,Sent to me damaged,2,send damaged,-0.4404
479,Gold thread,2,gold thread,0.0
480,Not for tall ladies,2,tall lady,0.0
481,Lokka tunic,2,lokka tunic,0.0
482,I'm in love!,5,m love,0.6369
483,Pretty cropped cardigan.,4,pretty cropped cardigan,0.4939
484,Love but poorly made,3,love poorly,0.6369
485,This velvet has swagger!,5,velvet swagger,0.0
486,Cute basic,4,cute basic,0.4588
487,Lokka is lovely,5,lokka lovely,0.5859
488,The perfect fall dress,5,perfect fall dress,0.5719
489,"Adorable, comfortable, flattering; this has it all",5,adorable comfortable flattering,0.8316
490,Cute!!,5,cute,0.4588
491,Funky seams,3,funky seam,-0.1027
492,Not enough structure fo rme,3,structure fo rme,0.0
493,Could be a bit shorter,4,bit short,0.0
494,Not worth the $$,2,worth,0.2263
495,Well...it is green,4,wellit green,0.0
496,Feminine blazer,5,feminine blazer,0.0
497,"Adorable top, a little pricey",4,adorable little pricey,0.4939
498,Huge arm holes,2,huge arm hole,0.3182
499,Looks can be deceiving,2,look deceive,-0.4019
500,"Gorgeous top, straps way too long",4,gorgeous strap way long,0.6124
501,Still awesome,5,awesome,0.6249
502,Perfect for any season,5,perfect season,0.5719
503,So wanted to love it...,2,want love,0.6705
504,Cute casual shorts,5,cute casual short,0.5859
505,Adorable culottes!,4,adorable culotte,0.4939
506,Not for big girls :(,2,big girl,0.0
507,"A little 'hip-y""",4,little hipy,0.0
508,Maybe one i got it's not right?,4,maybe get right,0.0
509,Buy these now.,5,buy,0.0
510,Different dresses,1,different dress,0.0
511,Classic with a twist,5,classic twist,0.0
512,So beautiful!!,5,beautiful,0.5994
513,"Great yarn texture and colors, look closely though",3,great yarn texture color look closely,0.6249
514,Great for tall ladies,4,great tall lady,0.6249
515,Kind of calssic retailer,4,kind calssic retailer,0.5267
516,Nice skirt!,5,nice skirt,0.4215
517,Not petite inseam...,1,petite inseam,0.0
518,Frayed bottom hem.....,3,fray hem,0.0
519,This is not red!,3,red,0.0
520,Unfortunately for me but good for someone else...,3,unfortunately good,0.128
521,Great for dressing up or down,5,great dress,0.6249
522,Wow!,5,wow,0.5859
523,Georgeous skirt,5,georgeous skirt,0.0
524,Love at first wear,5,love wear,0.6369
525,Lovely and colorful,4,lovely colorful,0.5859
526,Fantastic fit!,5,fantastic fit,0.7269
527,Flirty cocktail dress,5,flirty cocktail dress,0.1531
528,What a dream!!!,5,dream,0.25
529,Size and function,2,size function,0.0
530,Looks better on line,3,look well line,0.2732
531,Sporty and chic,5,sporty chic,0.2732
532,Great little top,5,great little,0.6249
533,"Comfortable, stylish, 70's relived.",5,comfortable stylish 70 relive,0.5106
534,Wonderful skirt,5,wonderful skirt,0.5719
535,Long pocket equals short leg,4,long pocket equal short leg,0.0
536,Better than in the photo,5,well photo,0.2732
537,"Great, great top",5,great great,0.8481
538,Lovely prints,3,lovely print,0.5859
539,Layer cake,5,layer cake,0.0
540,Great quality but...,4,great quality,0.6249
541,Perfect tee!,5,perfect tee,0.5719
542,Chic and classy,5,chic classy,0.6124
543,"Pretty, but already piling",3,pretty pile,0.4939
544,Gorgeous!!,5,gorgeous,0.6124
545,"Cute, but no sale",2,cute sale,0.4588
546,"Pretty pattern, weird texture",4,pretty pattern weird texture,0.3612
547,Lovely and flattering,5,lovely flattering,0.7269
548,Not flattering on,3,flattering,0.3182
549,Awesome skirt,5,awesome skirt,0.6249
550,Little green riding hood,4,little green ride hood,0.0
551,Love these for fall!,5,love fall,0.6369
552,Luv! so comfy,4,luv comfy,0.0
