Review,Rating
"Very cute, snug fit",4
Surprisingly retro-adorable,4
Love,5
Western look,5
Gorgeous quality knit,5
"Wanted to love, but sadly will return.",1
Great top!!,5
Lovely but smells like last purchaser's deodorant.,5
Interesting but awkward to actually wear,3
"Beautiful, but a few caveats",4
Fun jeggings,4
Loved in theory,3
No shape,2
Great casual dress to throw on,4
Plaid bomb pairs fabulous with everything fall!,5
Great staple!,5
Perfect fall jacket,5
Must have,5
Lounging dress,4
Perfect fit,5
Functional casual dress,5
Best bathing suit!,5
Overpriced but so comfortable,4
My new favorite swim suit,5
Perfect suit,5
Luxurious sleepwear,4
Please restock!!!,5
Cute and unique!,4
Great suit for busy moms!,5
Beautiful top,5
Boxy and short,1
Wanted to love these...but...meh...,3
Comfy and cute,4
"Vibrant, effortless, beautiful",5
Very cute and comfortable,4
Super comfy,5
Great basic pants!,5
Great pant,4
Great staple,5
Beach cover-up,4
What a waste,1
Wonderful swimsuit,5
Gerat pants,5
Great pants that don't get baggy,5
The perfect swimsuit - functional and stunning!,5
Not what i had hoped for...,2
Perfection,5
Love it!,5
Thick and beautiful sweater!,5
"Loungewear, not outdoor wear",2
Amazing suit!,5
Uniform top,5
Perfect 24/7,5
Super comfy and great fit!,5
Great shorts,5
Cute slim pants,5
Fabulous,5
Cute and comfortable swimsuit!,5
Lacks support,4
Easy breezy,4
Weird fit,2
Cute but didn't work for me :(,3
Cute pants,4
Great price for,5
Great fit,5
Stretches out,2
"Great material, awkward length",3
"Love these pants, highly recommend!",5
Great skirt!,5
Mixed feelings,4
Simple but different.,4
Too short,5
Itchy,3
Worth it,5
So many compliments,5
Great staple sweater!,5
Unique and adorable,5
The worst,1
"Fun, casual pant, perfect for summer and early fal",5
"Beautiful dress, weird sizing",4
Started out perfect,3
So beautiful!,5
Perfect layering sweater,5
Runs very small,2
Great casual top,5
Great for travel,3
Great neckline & good xl fit,4
Simple luxury,5
"Beautiful print, bad fit",3
"Great slouchy sweater, perfect color",5
Huge dress,2
Love these pants,5
The tee i have always been looking for!,5
The softest leggings,5
Great fall sweater,4
Very hip,4
Still cute despite...,4
Love,5
Great color!,5
Nice surprise,5
More colorways please =d,5
Love this top!!,5
New favorite,5
Everyday winter t updated,5
Darling and sophisticated,5
Adorable t-shirt,5
Love,5
Great tee,5
Casual comfort with style,4
"Pretty dress, lots of fabric",4
Surprisingly heavy,3
Casual and comforable. i love it,5
Great casual shirt,4
Love the neckline,5
Amazingly cute but runs huge!,4
Ok suit,3
Perfect for cool summer evenings,5
Too cropped,3
Gorgeous,5
Cute tee with fun neckline,4
Beautiful and unique but didn't work for me,4
Frumpy,3
Stinky sweater!,1
Nice spin on an everyday t-shirt,4
Elegant retro sweater tee,5
"Beautiful blue, but....",3
Just perfect!,5
"Comfortable, fashionable, throw on over anything",5
Love it!,5
Perfection,5
Perfer beige over pink,3
So very disappointed,2
Basic with a twist,5
Love this shirt!,5
Perfect dress,5
"Nice, comfy sweater",5
Scratchy,3
"Cute, but didnt love",3
Great for hot summers,4
Love!!,5
Finally found nice leggings!,4
Gorgeous on the hanger but not for me,3
Primula cocoon cardi,2
Not for me,1
"Beautiful, runs very large",4
Super soft and comfortable,5
Awful if you have any sort of curves!,2
Armholes huge,2
Modern take on 1950's vibe,5
Most beautiful sweater that i own!,5
Perfect,5
Imperial garden,5
No slip and totally sheer dress,2
Amazing,5
Ordinary for the price,1
Didn't work on my pear shape,3
Good basic - but sheer,4
Effortlessly chic!,5
Don't trust anyone,4
Sheet,3
Happyinpdx,5
Great shirt,4
Couldn't get past the itch factor,3
Stunning! just buy a belt with it.,5
Runs big,4
If only it looked like the photo.....,1
Not as pretty in person,3
Feminine and tts,5
Beautiful blouse,5
Pretty top,4
"Size down - loose,, flowing material - love it!",5
Warm and chic,4
Perfect tank to be dressed up or down,5
Pretty and feminine,5
Perfect,5
Beautiful sweater!,5
Wanted to love it - but . . .,2
Shrinks!!!,2
"Love, love, love!",5
Loved this top,5
Flattering,5
Love,5
Very plain on the front,3
Might be great if you have a bun in the oven!,2
Pretty but just okay when worn.,3
Very versatile,4
Great winter tunic,4
Not a great design,2
V-neck t,3
Super cute- order a size down,5
Nice tunic,4
Nice casual tunic-dress,5
Not as bad as previously reviewed,4
Love the black,5
Weird shape.,2
Boxy,3
Cute but short,4
"Too long, poor quality",3
Sent to me damaged,2
Gold thread,2
Not for me,3
Great tunic,5
Not for tall ladies,2
Lokka tunic,2
I'm in love!,5
Pretty cropped cardigan.,4
Love but poorly made,3
This velvet has swagger!,5
Great dress!!,5
Cute basic,4
Lokka is lovely,5
Great shirt,5
The perfect fall dress,5
"Adorable, comfortable, flattering; this has it all",5
Cute!!,5
Funky seams,3
Perfect!,5
Beautiful dress!,5
Not enough structure fo rme,3
Comfortable,5
Could be a bit shorter,4
Great cardigan,5
Not worth the $$,2
Pretty,5
Well...it is green,4
Feminine blazer,5
"Adorable top, a little pricey",4
So comfortable,5
Huge arm holes,2
Looks can be deceiving,2
Not as pictured,3
"Gorgeous top, straps way too long",4
Still awesome,5
Perfect for any season,5
Super cute pants,5
So wanted to love it...,2
Cute casual shorts,5
Adorable culottes!,4
Not for big girls :(,2
Perfect fit,5
"A little 'hip-y""",4
Maybe one i got it's not right?,4
Buy these now.,5
Different dresses,1
Classic with a twist,5
So beautiful!!,5
"Great yarn texture and colors, look closely though",3
So cute,5
Great for tall ladies,4
Kind of calssic retailer,4
Nice skirt!,5
Not petite inseam...,1
Frayed bottom hem.....,3
This is not red!,3
Unfortunately for me but good for someone else...,3
Great for dressing up or down,5
Wow!,5
Georgeous skirt,5
Love at first wear,5
Lovely and colorful,4
Fantastic fit!,5
Flirty cocktail dress,5
What a dream!!!,5
Size and function,2
Looks better on line,3
Sporty and chic,5
Great little top,5
"Comfortable, stylish, 70's relived.",5
Wonderful skirt,5
Long pocket equals short leg,4
Better than in the photo,5
Very pretty,5
"Great, great top",5
Fabulous,5
Love love love,5
Lovely prints,3
Great colors!,5
Layer cake,5
Great quality but...,4
Perfect tee!,5
Chic and classy,5
Very nice,5
Funky fit,3
Stunning!,5
"Pretty, but already piling",3
Great jeans,5
Gorgeous!!,5
"Cute, but no sale",2
"Pretty pattern, weird texture",4
Lovely and flattering,5
Not flattering on,3
Awesome skirt,5
Shorter than expected,2
Little green riding hood,4
Great dress for all occasions,4
Love these for fall!,5
Luv! so comfy,4
Soft and unique but short sleeves,4
Shapeless,3
Divine and comfortable,5
Must try on,5
"Pretty color, nice fit, fun t-back",5
Loose waist,4
Want go get another in a diff color,5
Soft but boxy,4
Disappointing fit!,2
Super comfy but very boxy,4
The fabric is heavy,3
Beautiful fit,5
Finally jeans for curves!,5
A winner!,5
Cozy comfy beautiful top,5
Warm and cozy,4
Great dress!,5
Love this sweater!,5
Washed out looking,3
Classic,5
Soft and flattering,5
"Soft, flattering, warm and versatile!",5
My holiday dress,5
In love,5
Close but not quite right,4
Amazing!,5
Versatile,5
"Sweater, not a coat.. but amazing",5
Comfortable but not exciting,3
Gorgeous!!!,5
Gorgeous,5
So soft!,5
Love this lightweight coat!,5
Soft & warm,5
Love at first fit,5
Nice quality,4
Too much for this sweater,3
Super comfortable but big,4
In love,5
Love. love. love,5
Warm,5
Owned in 3 sizes 3 colors all great,5
Strange and wonderful,5
Bautiful lines,5
Best to try on in store,3
Cozy cut,5
"Slimming, cute",5
Beautiful design but not great quality.,3
Worth every penny!,5
Lovely,5
Beautiful coat,5
Love this!,5
Cute tunic,4
Misleading picture!,1
"Cozy, flattering, and practical",5
Great sweater!,4
Beautiful,5
Best sweater jacket!,5
Not for every body type,2
Best for staright figures,4
Cute sweater!,5
So happy i ordered this!,5
"Wanted to love it, but just kinda like it",3
Lovely top,5
Comfy & cute,5
Love this sweater,5
Classically byron lars,5
Great blouse,5
Awesome dress,5
Beautiful!,5
Cute sweater!,5
Nice,4
"Cotton, cotton, love cotton!",5
Large and very wide!,2
Flowy,5
Love this sweater,5
"Interesting sweater, good quality",5
Nice cotton sweater,4
Quality & cut,1
Not as great as the photos,4
Beautiful casual top,3
Cute tee,5
Great tee but kind of short,4
Pretty but not for me,3
Love the color!,5
Finally a flattering sweater!,5
"Great dress, not for me",4
Farm animal pullover,2
Perfect in all respects,5
"I wanted to love this sweater, but......",2
"Upscale, unique sweater",5
Fun shirt!,5
Lovely surprise,5
Petite busty girls rejoice 2,5
Cute!,4
Such a beautiful victorian blouse!,5
Paisley silk maxi dress,2
"Beautiful top, looks great with black/gray jeans",5
"Gorgeous, high quality, and figure flattering!",5
Pretty in pink,4
This dress is divine!,5
"Cute top, but beware it shrinks!!",3
"Runs big, great material but not as pictured",2
"Beautiful, cozy sweater",5
Worth thr $$$,5
Stunning,5
Zipper is short,4
Amazing,5
Lovely!,4
Pretty and feminine,4
My absolute favorite top,5
Not perfect but cute shirt!!,4
Gorgeous!!!,5
"Great color, not so great tailoring",2
Casual top,4
I wanted to love this shirt.,3
Love this blouse!,5
Super cute with right body style,3
Maybe,3
Super cute,5
Great piece,5
Shrinks,1
Cute!!!,5
"Love, love, love this dress!",4
"Elegant, timeless and versatile",5
Ig brought me here,4
Poor quality,1
Wanted to love her,3
Cute top!,5
Victorian in a good way,5
Love this blouse,5
One can never have enough sequins,4
Cute pant,3
Gorgeous fabric,3
Love these,5
Great fabric but really bad shape,1
So much cuter in person and oh so comfy,5
Tx fan,4
"Beautiful top, but it shrank substantially!",3
Nice enough,4
Cute dress but poor design,2
So sad,1
Wanted to love it!,3
Can't miss classic!!,5
Cute and comfortable,5
Favorite summer top,5
Happy girl!,5
Unusual and eyecatching,5
Beautiful in blue!,5
Gorgeous!,5
Cute but runs small,4
Not what i thought,3
Beautiful day to evening skirt,4
Stretch out a whole size,2
Love love love!,5
Easy fit,5
Gorgeous top!,5
Shape problem,3
Gorgeous - but.......,3
Just average,3
Maternity top,2
Everyday casual and cute,5
"Unusual, cool, fun top",5
Gorgeous leggings,5
L space chloe top,3
Soft tank for the summer,4
Fine for a fitness class,3
Nice top,4
Pretty much just like picture,4
Absolutely beautiful and feminine,5
Fabulous,5
"Lovely, comfortable and versatile",5
Disappointed,3
Love,5
Not sure what body type this suit is designed for,1
Loved but both in my store had quality issues,4
"Came dirty, but nice fit...",4
Bright & versatile,5
Feminine,5
Love these!,4
Super cute. pockets would be nice,4
Prettier in person,5
"Pretty, but not great",3
Beautiful summer dress,4
Comfy and cute pants,5
Very comfortable/relaxed,4
Finally found my staple summer dress!,5
Awkward,3
So flattering!,5
Why is it so big?,3
Not what i expected,3
"Beautiful, flattering, but runs large",5
Adorable,5
Lovely dress,4
Odd shape,2
Didn't try it on,2
Cute casual summer dress,4
Throw on and go perfection,5
Huge,3
Just a nice dress...,3
Pretty but runs big!!,5
Fun easy dress!,5
Sleepable jeans,5
"Lovely, feminine, needs belt for definition",5
"Unique, classy",5
Pretty dress but oddly cut in the middle,4
"Beautifully constructed dress, runs large",5
Perfect for irish fest and beyond!,5
"Cute, sweet, flirty, sexy",5
Nice simple staple,5
Flowy and flirty for summer flings,5
Great dress but not in green,3
A little itchy for me,3
Love,5
"Pretty, comfy, casual, dressy",5
Cute top!,5
Flattering,5
Bryson cowl,5
Wide,2
Amazing fit and wash,5
Elegant and comfortable,5
So cute!,5
Great buy!,4
Bought in 2 patterns!,5
Not flattering,3
Cute with some adjustments,5
Way cuter in the photo,3
Go to summer top!,5
Frumpy,2
The lady dress,5
Cute,5
Not so flattering top,3
Too much fabric,1
New year party dress,5
Wonderful!,5
"Soft, warm and stylish!",5
Darling top- runs large and long!,4
This top is really cute,5
Xl fits great,5
European flair,5
Cute summer top,5
"Beautiful and versatile, but big...",4
Runs large - order down!,4
Adorable,5
"Flattering, comfy top",4
Amazing retro style,5
Love it!,5
Wanted to love...,2
Wanted to love this,3
Special,5
Perfect for summer,5
Fell in love,5
Recommended for tan to dark complexions,3
Perfect tunic,5
Not as pictured,2
Can't get enough,5
Disappointing,2
Adorable,5
Cute and comfy!,5
Great quality!,5
Pretty top poor fit,3
Avoid if you're curvy...,2
Beautiful,4
Fun top for all seasons,4
Very flattering and comfy,5
Blouse,5
Beautiful,5
Awful fit,2
Great fall piece,5
Super cute,5
Comfortable style,4
Versatile blouse!,4
Lovely but not awesome,3
Cozy amazingness!!,5
Cute and fun top!,5
"Lovely, unique and odd",5
"Cute, but not on me!",2
Love it so much,5
Adorable top,4
Cute white tee,4
A unique one of a kind t shirt,4
Size up if busty,4
Comfy and lovely,5
Wanted to love,2
Great denim,5
This dress is so classic!,5
Sad sack,2
Cute top!,5
Love this top!,5
Fits like maternity,2
Love!,5
I ended up loving this dress,5
Adorable!,5
Order down a size; sooooooooooooo cute!!!,5
Beautiful poncho,5
Love the color,5
Perfect t-shirt,5
Cute!,4
I wanted to love it...,2
Too billowy,3
Must see in person,5
Stunning top,5
Love!!!,5
Perfect for fall layering,5
Beautiful fabric / odd fit,3
"Soft, subtle loveliness",5
Happy top!,4
Wanted to love it,2
"Great overall, but with it's issues",4
"Cute shirt, but not for me",5
Not as pictured,2
Not black,2
Stunning!,5
Soft lightweight and cool,5
Not the same,1
Beautiful!,4
Disappointed,1
"Yeh, what she said.....",4
My favorite workout leggings,5
Pretty details,5
Not what i wanted,2
Weird boobs,3
Nothing special,4
Great find.,5
Wish it was longer length,3
Great summer  dress,5
Looks like a babydoll dress,3
Great jeans!,5
"Beautiful and soft, yet length is deceiving!",2
"Love the way it looks, but couldn't keep it",2
As expected,4
Not what i expected,2
Comfy,5
Odd cut,3
Beautiful winter color,5
Comfortable,5
Love it!,5
"Odd, boxy fit",3
Unflattering,1
Umm what is this,1
Very delicate,1
Nice summer t-shirt,5
This shirt will brighten you day,5
Too delicate,1
Very cute tee!,5
Beautiful and tailored.,5
Star print is so pretty!,5
Soft and cute,4
Lovely but armholes too revealing for me...,4
Very cute everyday dress,4
Simply dive-ine!,5
A lovely piece to be worn and cherished,5
Flattering tee,4
Classic,5
Lovely dress,5
Sassy maxi,5
A poor quality dress,2
This sweater is short in length,3
Signature retailer sweater,5
Beautiful and unique dress,5
"Nice dress, fit is ok",4
Really soft,5
A little big up top,4
Lovely lace top!,4
Skirt flares more than it looks,4
"Oh, so gorgeous",5
Love these jeans!,5
Beautiful feminine blouse,5
Great detail,5
Pretty; low cut arm holes,3
Very pretty - runs large (busty petites rejoice 3),4
Love this dress!,5
Gorgeous turquoise color,5
Skarlett blue demi convertible bra review,5
Much cuter in the picture,3
Cute and comfy dress,4
Adorable tank!,5
Almost,4
Lovely feel and color,4
Beautiful chemise!,5
Wow!,5
Perfect ease,5
Very messy t-shirt,2
Down with drycleaning,2
Great maxi dress,5
Bad fit for me,3
Comfort,5
"Great dress, too short",3
Perfect for everyone!!!!,5
Beautiful summer dress,4
"Comfy, runs large",4
Super comfy dress,5
They keep their shape,4
Don't size up,3
"Really cute dress, if you can do the handkerchief",3
Gorgeous,5
Worst purchase ever,1
Not good quality,2
Great summer dress,4
Summer and spring go to tunic,5
Great style,4
Beautiful casual dress,5
Perfect and easy to wear dress,5
Muumuu,1
Great fall dress,5
Makes my butt look amazing!!,5
Not a halter?,5
Beautiful color and drape,4
Not a midi on me but still so cute,5
Comfortable and pretty,3
Perfect everyday dress,5
Beautiful embroidery,4
"So cute, but so big!",3
"Excellent cut and idea,poor fabric c",3
"Very cute, runs small",3
Cute shirt but really strange design,2
Too tight and too big at the same time.,3
Best strapless ever,5
Perfect,5
Love it,5
Great shirt,5
Great purchase,5
Runs very small,2
Much thinner,3
Good luck getting it on!,2
Very versatile,5
Cute but itchy,4
Would love the cut but,3
Comfortable strapless,5
My new favorite pullover,5
Top gapes open,2
Great top to transition to fall!,4
Nice shirt,4
Amazing product,5
Best jeans!,5
Is this really black?,5
Great fall top,5
Loved these!,5
Odd dimensions,2
Not for the well endowed,3
Versatile jacket,4
"Ok, lightweight jean",3
Great top for everyday wear!,5
Classic with a twist,5
"Stylish, comfortable and affordable!!!!",5
So cute!,5
Adorable,3
"Nice fit, nice quality",5
Huge,3
I wanted to like this...,1
Perfect work pants!,5
Size down,3
Subtle beauty,5
Small in the waist,5
~~so very retailer~~,5
My new favorite skirt!,5
Bad zipper,3
Dissapointed,3
"Versatile, great fit, pockets!",5
Sleeves stretch out,4
Great fit for curves,5
Enormous!!,1
"Red ""evanthe"" dress",4
Haven't washed well,3
"Beautiful, flattering top",5
I wear my sunglasses,5
Does not fit well but is beautiful,2
Small-chested women need not apply,5
Beautiful sweater but not flattering on me,3
Pop of color,5
Dress up or down,5
Awesomesauce!,5
Love this!!,5
Lovely but not for me,3
Great summer print,5
Great skort,5
Sweater love!,5
So versitle,5
Gorgeous and flexible,5
Bright spring skirt,5
Beautiful!,5
W i d e collar,4
Fun and uniquely dramatically elegant,5
Pretty but not for me,4
Very pretty,4
Gorgeous shorts,3
Soft lace and beautiful color,5
Great sweater!,4
Comfy and classic,4
Ideal fit and feel for gals with curves,5
Madly in love!,5
Delaney pullover,4
Delaney pullover,2
Best purchase anywhere lately!,5
Wish it loved me back!!!!,4
I love this skirt!,5
Just as cute as expected,5
Nice fall dress but needs the right body type,3
So flipping soft and pretty!,4
It's a bell,3
So cute and unique!,5
Dream pants do come true,5
Nice,5
Love it!,5
Cute & unique,5
Lovely gem!!,5
Great twist on a cargo jacket,5
Dear eva,5
Cozy sweater in a boxy style,3
Super cozy,4
"Attractive casual pants, nice texture and color",5
My new fave!,5
"Wanted to love, but...",3
"Sexy, simple top",5
