,Review,Rating,Review_clean,sentiment
251,"Loved the pjs, but sleeves on top were too tight.",3,love pjs sleeve tight,0.6369
252,Completely different shirt!,1,completely different shirt,0.0
253,Hmmmm - disappointed,4,hmmmm   disappoint,-0.4019
254,Wayyy to small,2,wayyy small,0.0
255,"Good quality, right dark navy ( Zander ) color, muted color stitching.",4,good quality right dark navy   zander   color mute color stitch,0.4404
256,Absolutely love it.,5,absolutely love,0.6697
257,The jeans have holes in the pockets,1,jean hole pocket,0.0
258,"Weirdly Shaped, Unflattering",2,weirdly shape unflattering,-0.296
259,It's perfect!,5,perfect,0.5719
260,What's up with the tag??,2,s tag,0.0
261,My kid looked so grown up in it!,4,kid look grow,0.0
262,just plain wrong,1,plain wrong,-0.4767
263,Finally olive skinny jeans!,5,finally olive skinny jean,0.0
264,way too long,3,way long,0.0
265,Must be tall & lean,2,tall   lean,0.0
266,"It's too long no shape, it fits weard",1,long shape fit weard,0.3612
267,Neck line not what I wanted,2,neck line want,0.0772
268,chaqueta levis,5,chaqueta levis,0.0
269,Not a maroon color like shown in the picture it’s more of a fire truck red color.,3,maroon color like show picture fire truck red color,0.0258
270,Very Snug-tough Material,2,snugtough material,0.0
271,too big,1,big,0.0
272,"Pants smelled heavily of Napthalene,  a carcinogen.  Even after two washes can smell it.",1,pant smell heavily napthalene   carcinogen   wash smell,0.0
273,Size chart is wrong,1,size chart wrong,-0.4767
274,Cute but fit not right,3,cute fit right,0.6705
275,Hooded utility cape,2,hood utility cape,0.0
276,"Pretty, just not a keeper",4,pretty keeper,0.4939
277,Not delivered at door not at porch. but left behind some bushes.,3,deliver door porch leave bush,-0.0516
278,Women’s Casual Work Office Open Front Blazer Jacket with Removable Shoulder Pads,4,women casual work office open blazer jacket removable shoulder pad,0.2023
279,"Beautiful and soft, yet length is deceiving!",2,beautiful soft length deceive,0.296
280,Runs a little big for hd,4,run little big hd,0.0
281,"Same size, different fit.",3,size different fit,0.3612
282,High hopes are dashed!,1,high hope dash,0.4404
283,"See through , especially when they get wet",1,  especially wet,0.0
284,RUN SMALL - return fast or you will miss the window,1,run small   return fast miss window,-0.1531
285,Beautiful dreds,4,beautiful dred,0.5994
286,Fall in love/spring into style,5,fall lovespre style,0.0
287,Great suit.,5,great suit,0.6249
288,Cute top for summer,5,cute summer,0.4588
289,Was not pleased with the material.,2,pleased material,0.4404
290,Piece didn't make sense,2,piece not sense,0.0
291,Change armpits,4,change armpit,0.0
292,If you’re short & over 150 not flattering,1,short   150 flattering,0.3182
293,Calvin klein quality,5,calvin klein quality,0.0
294,Good quality but runs a little small,4,good quality run little small,0.4404
295,comfort and feel,4,comfort feel,0.3612
296,Beautiful and soft but fragile,4,beautiful soft fragile,0.5994
297,Too skinny for me,4,skinny,0.0
298,Pretty good with a problem,3,pretty good problem,0.5267
299,Had to up size.,4,size,0.0
300,"Beautiful embroidery, poor execution",4,beautiful embroidery poor execution,0.2023
301,Odd fit for me,3,odd fit,0.0516
302,Cute holiday dress,4,cute holiday dress,0.6908
303,Thrilled to own this,5,thrill,0.3612
304,Best for tall folks,3,well tall folk,0.2732
305,If you want fitted shirts these are NOT it.,2,want fit shirt,0.4215
306,terrible product,1,terrible product,-0.4767
307,El tallaje es muy grande,4,el tallaje es muy grande,0.0
308,Misrepresented color (Navy Blue),3,misrepresented color navy blue,0.0
309,Did not come with a tie,2,come tie,0.0
310,Plaid jacket,1,plaid jacket,0.0
311,Cheap feeling material,1,cheap feeling material,0.128
312,Ruined after one wash,1,ruin wash,-0.5859
313,"Very cute, but...",4,cute,0.4588
314,"Lovely, but. . .",3,lovely  ,0.5859
315,Beautiful blouse; very flattering,4,beautiful blouse flattering,0.7351
316,"Bunching, unflattering",2,bunch unflattering,0.0
317,Buy a full size larger these run small.,4,buy size large run small,0.0
318,Love it But...,4,love,0.6369
319,Give it a pass,2,pass,0.0
320,Short top,4,short,0.0
321,I ordered a regular length and amazon sent me long so I have to return.,2,order regular length amazon send long return,0.1779
322,Lumpy on the sides,2,lumpy side,0.0
323,See through material,1,material,0.0
324,VERY NICE SLACKS,4,nice slack,0.4215
325,"comfortable material, good fit",4,comfortable material good fit,0.8271
326,Photos on model misleading,2,photo model misleading,-0.4019
327,Runs small/snug.,4,run smallsnug,0.0
328,Runs large and sleeves are different from photo,4,run large sleeve different photo,0.0
329,Beautiful dress but very large,2,beautiful dress large,0.5994
330,Not for curvy hips,3,curvy hip,0.0
331,Did not receive full product.,2,receive product,0.0
332,They shrink and fade,3,shrink fade,0.0
333,This dress is gorgeous!,5,dress gorgeous,0.6124
334,Order was received incomplete,1,order receive incomplete,0.0
335,Shrunk quickly.,2,shrunk quickly,0.0
336,Looks great and it’s comfy,5,look great comfy,0.6249
337,"Nice shirt, but very different color",4,nice shirt different color,0.4215
338,This is not a lightweight fleece- it is thick & bulky.  The design and price are awesome though..,4,lightweight fleece thick   bulky   design price awesome,0.6249
339,Be careful how you wash!,2,careful wash,0.1531
340,"Unfortunately, wouldn’t recommend",2,unfortunately not recommend,-0.5439
341,"Shirt is great, pants are terrible",1,shirt great pant terrible,0.25
342,Too short and too small,2,short small,0.0
343,Order Up for Wide Hips,4,order wide hip,0.0
344,Fake,1,fake,-0.4767
345,Run really small,3,run small,0.0
346,Looked like a sack,2,look like sack,0.3612
347,The crotch wears out in six months time.,1,crotch wear month time,0.0
348,Fun day dress,4,fun day dress,0.5106
349,Flattering fit zipper stuck,4,flattering fit zipper stick,0.5859
350,Lovely skirt!!!!!,4,lovely skirt,0.5859
351,Excellent value,5,excellent value,0.7269
352,Not exactly what i hoped for,3,exactly hope,0.4404
353,Great style | not so great construction,3,great style   great construction,0.8481
354,Do not recommend!!!!! Horrible,1,recommend horrible,-0.25
355,Much nicer in the pictures,2,nice picture,0.4215
356,Cute design but unflattering fit,2,cute design unflattering fit,0.6705
357,Finally jeans for curves!,5,finally jean curve,0.0
358,The fabric content changes based on where made,1,fabric content change base,0.0
359,Soft!!!!,5,soft,0.0
360,Fit and look great,5,fit look great,0.765
361,Size ridiculously small,2,size ridiculously small,-0.34
362,"I don't like the orange color, doesn't look like in the picture .",2,not like orange color not look like picture,-0.4973
363,"Adorable, but ...",4,adorable,0.4939
364,Lot of wrinkles,2,lot wrinkle,0.0
365,It’s bright yellow instead of a soft mustard. Overall a good buy.,4,bright yellow instead soft mustard overall good buy,0.7003
366,So comfy! great for pajamas or super casual,4,comfy great pajama sup casual,0.7096
367,Looks good but too thin,1,look good thin,0.4404
368,Weak stitches,2,weak stitch,-0.4404
369,Amazing purchase,5,amazing purchase,0.5859
370,Looks more expensive than it is!,5,look expensive,0.0
371,I can wear this anywhere,4,wear,0.0
372,Jeans That Fit,5,jean fit,0.3612
373,Product not consistent,3,product consistent,0.0
374,Great flattering top,5,great flattering,0.7506
375,Does not look like the picture,1,look like picture,0.3612
376,Confused by the gold,4,confuse gold,-0.2263
377,So Cute!,5,cute,0.4588
378,Inside out and wrinkled,3,inside wrinkle,0.0
379,No me gusta la sensación al tacto,3,gusta la sensación al tacto,0.0
380,Great skirt but..,4,great skirt,0.6249
381,Cute but runs small,4,cute run small,0.4588
382,Mustard Blazer,5,mustard blazer,0.0
383,Nice shirt. Good fit.,5,nice shirt good fit,0.802
384,These shrink in the washer...,3,shrink washer,0.0
385,Whimsy with flair,4,whimsy flair,0.0
386,stiff narrow tshirt,1,stiff narrow tshirt,0.0
387,Just what he wanted,5,want,0.0772
388,Was not impressed with the fit.,2,impressed fit,0.6808
389,8th grade formal suit,5,8th grade formal suit,0.0
390,A lot to work with,4,lot work,0.0
391,"Thin, poorly made",1,thin poorly,0.0
392,Great Fitting shorts,5,great fitting short,0.6249
393,Comfy and feminine,5,comfy feminine,0.0
394,Big Bagging Behind Wrinkly and Ill Fitting,2,big bagging wrinkly ill fitting,-0.4215
395,Fits too large,2,fit large,0.3612
396,If you want a crop top...,2,want crop,0.0772
397,Wrangler Men’s 13MWZ Cowboy Cut,5,wrangl men 13mwz cowboy cut,-0.2732
398,Pretty but not what i was looking for.,3,pretty look,0.4939
399,Scratchy gauze,3,scratchy gauze,0.0
400,Fits so well he wears it everyday!,5,fit wear everyday,0.3612
401,"Very well made, ver good fit",4,ver good fit,0.6597
402,Holes in pockets immediately,1,hole pocket immediately,0.0
403,Not genuine,1,genuine,0.0
404,Mid rise asked for high rise.,2,mid rise ask high rise,0.0
405,Good comfortable,3,good comfortable,0.7351
406,Very wide and deep neck,2,wide deep neck,0.0
407,Great lbd for the winter,4,great lbd winter,0.6249
408,Classic look that keeps looking good,5,classic look keep look good,0.4404
409,Perfer beige over pink,3,perfer beige pink,0.0
410,Thin/see through,4,thinsee,0.0
411,Not as nice as you see online,2,nice online,0.4215
412,Beautiful and unique.,5,beautiful unique,0.5994
413,Very cute but size down,4,cute size,0.4588
414,Watch out for the belt loops,1,watch belt loop,0.0
415,needw bettee pics,1,needw bettee pic,0.0
416,The fabric is very thin and sows through!!,3,fabric thin sow,0.0
417,I looked like a linebacker,2,look like linebacker,0.3612
418,Looks great on the photo but was too big for me,1,look great photo big,0.6249
419,Dirty suit!!! 🤬,1,dirty suit,-0.4404
420,It’s too short and I won’t be able to wear it,2,short will not able wear,0.0
421,Shrunk after first wash,3,shrunk wash,0.0
422,Wider and swingier than pictured,2,wider swingi picture,0.0
423,Good but quality issue with one out of 5,4,good quality issue 5,0.4404
424,"Poor quality, cheaply made",1,poor quality cheaply,-0.4767
425,Buttons fell off,1,button fall,0.0
426,Much nicer on than on the hanger!,4,nice hanger,0.4215
427,Wish it worked,3,wish work,0.4019
428,Unwearable but pretty,1,unwearable pretty,0.4939
429,"They are more like mid-rise skinny jeans, Levi’s 70’s straight leg are actual high rise jeans",1,like midrise skinny jean levis 70 straight leg actual high rise jean,0.5267
430,"Justo lo que quería, suave seda para dormir",5,justo lo que quería suave seda para dormir,0.4588
431,Way too much material,2,way material,0.0
432,Pretty but underwhelmed,3,pretty underwhelmed,0.4939
433,Fabric is pretty thin,2,fabric pretty thin,0.4939
434,Zipper broke in first wash before ever being worn,1,zipper break wash wear,0.0
435,Sweater white,2,sweater white,0.0
436,They run a little bit small,4,run little bit small,0.0
437,Lovely shirts. I bought in various colors.,5,lovely shirt buy color,0.5859
438,"Want to love it, but it is only okay",3,want love okay,0.7506
439,Wanted to love this skirt,2,want love skirt,0.6705
440,So disappointed #2,2,disappointed 2,-0.4767
441,What do you expect for 30 bucks,4,expect 30 buck,0.0
442,Material is awful ... Picture is misleading...,1,material awful   picture mislead,-0.4588
443,Lovely but way too small,3,lovely way small,0.5859
444,Size of waistcoat and jacket too small,3,size waistcoat jacket small,0.0
445,The order from hell...,2,order hell,-0.6808
446,Swam on me!,2,swam,0.0
447,Looks like maternity wear,2,look like maternity wear,0.3612
448,"Item runs small, cheap matru9",3,item run small cheap matru9,0.0
449,It was exactly as I expected.,5,exactly expect,0.0
450,Beautiful top with odd fit,3,beautiful odd fit,0.6249
451,"Snags easily, ruined in the first two weeks",1,snag easily ruin week,-0.34
452,Yee haw!,5,yee haw,0.0
453,Great buy on sale,4,great buy sale,0.6249
454,Stripes are not my friend.,3,stripe friend,0.4939
455,Pretty but awkward,3,pretty awkward,0.3818
456,Cute summer blouse,5,cute summer blouse,0.4588
457,Across the breast area was tight have to wear underneath shirt and wear open front unbutton.,4,breast area tight wear underneath shirt wear open unbutton,0.0
458,Fell short of expectations.,3,fall short expectation,0.0
459,A little too boxy vs swing,3,little boxy vs swing,0.0
460,Not loose enough to “hide belly”,4,loose hide belly,-0.4588
461,Very Uncomfortable,1,uncomfortable,-0.3818
462,Really cute but too big,3,cute big,0.4588
463,Great spring staple,4,great spring staple,0.6249
464,Way too small. My hubby is a 46/48 but these pants couldn't even go all the way up.,1,way small hubby 4648 pant not way,0.0
465,Ummmm no,1,ummmm,0.0
466,Not a Blazer,1,blazer,0.0
467,"It’s ok, not the best",3,ok good,0.6249
468,Love byron lars,5,love byron lar,0.6369
469,Almost right,3,right,0.0
470,Good item,5,good item,0.4404
471,"Nice jacket, bad seams",3,nice jacket bad seam,-0.1779
472,Super unflattering,2,super unflattering,0.5994
473,Fit is way too long!,1,fit way long,0.3612
474,Where's the compression?,3,s compression,0.0
475,Not very satisfied,2,satisfied,0.4215
476,Cute cardigan,4,cute cardigan,0.4588
477,Miniature sleeve and out of proportion,1,miniature sleeve proportion,0.0
478,"Great while they lasted, which wasn't long",2,great last not long,0.6249
479,Romper rules,4,romper rule,0.0
480,Surprisingly Good for the Price,5,surprisingly good price,0.6249
481,"After washed, it wrinkles very easy",3,wash wrinkle easy,0.4404
482,Amazing coat/jacket,5,amazing coatjacket,0.5859
483,Waist is ok but the legs are way to big and baggy in the front.,2,waist ok leg way big baggy,0.296
484,Quality inconsistent in the pack,3,quality inconsistent pack,0.0
485,Much lovelier in person,4,lovelier person,0.0
486,"The pants attract lint, dust and hair.",2,pant attract lint dust hair,0.3612
487,Love the fit...the color runs! run washer 2nd time,3,love fitthe color run run washer 2nd time,0.6369
488,Pockets to far apart,3,pocket far apart,0.0
489,"Great, easy care dress",5,great easy care dress,0.8807
490,This was quite short,3,short,0.0
491,Will return,1,return,0.0
492,Good idea- bad execution,1,good idea bad execution,-0.1531
493,Disappointing fabric,1,disappointing fabric,-0.4939
494,Not quite what i expected,3,expect,0.0
495,Beautiful - if you're pregnant with twins.,2,beautiful   pregnant twin,0.5994
496,What i expected,4,expect,0.0
497,Must have statement piece,5,statement piece,0.0
498,Perfect little dress,5,perfect little dress,0.5719
499,Not quite the right fit,4,right fit,0.3612
500,Fantastic white pant!,4,fantastic white pant,0.5574
501,Jury is still out,4,jury,0.0
502,Good but runs very small,4,good run small,0.4404
503,Beautiful but didn't work for me,4,beautiful not work,0.5994
504,"Oversized, comfortable",3,oversized comfortable,0.5106
505,I had high hopes,3,high hope,0.4404
506,Cute dress for younger women,4,cute dress young woman,0.4588
507,4 inches of space between collar and back of my neck.,1,4 inch space collar neck,0.0
508,Wish this worked for me...,3,wish work,0.4019
509,Design too fluorescent,3,design fluorescent,0.0
510,Unqiue dress!,5,unqiue dress,0.0
511,Ag,5,ag,0.0
512,Not Levi,1,levi,0.0
513,Like don't love,4,like not love,-0.2187
514,This outfit really deserves five starts.,4,outfit deserve start,0.0
515,Worst pants ever no back pockets 🗑,2,bad pant pocket,-0.5423
516,Looks are deceiving.,2,look deceive,-0.4019
517,"Big, baggy, boxy",2,big baggy boxy,0.0
