,Review,Rating
13,"This product is cute and is pretty comfy for sleeping.  However, the pants are made for a WNBA center: minimum height of 6'6"".  I'm 5'6"" and the bottom of the pants hit well past the end of my toes.  I guess I'll have to hem them, but there's a cute trim at the bottom of the legs that I'll lose once I do that.  I haven't washed them yet, so maybe they'll shrink a bit, but I doubt it will take a foot off the length.",3.0
14,Honestly... this couldn't fail and it didn't,5.0
15,"I bought this in the white, size m (140lbs., 5'8"", 34b) because i wanted a baggy fit, which i got, so this is tts. the white is more of an off-white rather than a bright white, which i like because i happen to be looking for an off-white tee. and the shape is good--even in a larger size, this tee nips in at the waist.however, the quality of this tee is lacking, as it is the typical, cheap, marled, slightly see-through material that seems to be everywhere these days and the band on the back of th",2.0
16,Justo como esperaba,4.0
17,"Does not look like the picture. I will give them credit for the product arriving considerably earlier than promised. Not sure how to describe what it looked like, but it was much puffier than the picture and the nubby material was very sticky - for lack of a better word. Everything stuck to it. Only had it on for a few moments and pretty sure that every dog hair and piece of fuzz on the plant was stuck to it! Returned!",1.0
18,"This runs way big, i'm a size 8, purchased the medium. it's just big with no shape.",2.0
19,"The sweater in the picture is not the sweater I received. The sweater in the pic looks like a thicker m/heavier cotton. I received thin, see through cotton. It was a gift for my daughter & us passed the return date.",1.0
20,"I loved this shirt when i got it. it fit perfectly, and was so soft. but when i washed it, following the instructions, it shrank up to well above my belly button. i'm talking 6 inches of shrinkage, at least.",1.0
21,Beautiful but I did not choose the correct size.,5.0
22,"Ordered this vest in both the xs and pxs. i liked the length and overall fit of the xs, however, i ended up returning both due to how the vest draped. the outer fabric is a bit more stiff which made the vest balloon out more then what i liked. overall, it?s not a terrible vest but just not for me.",3.0
23,"Cute shirt but if you are busty, the v-neck pulls apart very oddly. The material was solid and not sheer.",1.0
24,"This sweater has a fun big bold flower and a nice blue color and is quite roomy. the fit is larger around the arms and chest, which might work well for people who are very curvy on top. it seems to taper a bit to the waist. the roomy fit to the arms gives it almost a bat wing shape. it was too overwhelming on my petite frame, what with the bold flower and the fit, so i passed. but if you like the big flower and color and want a roomy sweater, this could work well for you.",3.0
25,"This blouse has too much drapey fabric and it's just not flattering.  in the front part of the blouse the fabric is relatively short, but the sleeves have so much excess fabric it almost looks like a clown suit.  sending back.",1.0
26,I normally wear an extra large however Amazon recommended extra extra large in this shirt. That’s what I ordered and it fits perfectly,4.0
27,Very poor quality. I was super excited to get this shirt for my new job. Threw it right back in the bag. Looks very cheap.,1.0
28,So many wrinkles! Ironed and ironed and still wrinkly.,2.0
29,Took forever. Thinest fabric I've ever seen.,1.0
30,"I purchased the medium in this sweater as that was all that was left. but it fit like a large if not an xlarge! it's a beautifully made sweater and really soft. i now think i know why it suddenly becomes available again here and there. it's not the kind of sweater you want to wear over sized because as beautifully made as it is, it's not that flattering if it's hanging on you. luckily it suddenly became available in a small which i quickly ordered and will keep my figures crossed that it's bette",4.0
31,"These got me so excited for fall. the teal is a color i'm really into right now and was the real reason i decided to order these. when they arrived though, i was delighted to find that they are light weight and have the perfect amount of stretch. the fit is snug, but hugs all the right places and are so comfortable! these will be a staple in my wardrobe. i want to order more colors!",5.0
32,"I have been eyeing this piece for months now! i broke down and bought it when they finally had my size in stock. i am 5 '4 and 110 lbs and have a very small chest so i ordered an xs. i think the top is too baggy for me. yes, the top and bottoms fit overall, but it doesn't look as nice and form fitting like it does on the model. it is very sheer--which is the thing that discourages me the most. i love the concept of this piece but the execution could use some work, which i am willing to work on s",3.0
33,"I'm 5'7”, 175 pounds, and was unsure of my size due to recent weight loss.I ordered a 12 and a 14, assuming one of the two would be a good fit. Nope.The 12s came up higher on my waist than the 14s, which was strange but I liked the height. They felt comfortable but were snug all over and the material is too thin to wear snug, they looked painted on.The 14s, strangely, were a lower cut than the 12s. Shorter and wider because the legs and hips fit well... The thin fabric looked nice that loose but the waist band was wide and asking for a belt and the legs had so much extra fabric that they bunched up when I walked.Trying to choose which I would wear in public was frustrating and in the end I decided to return both.Still giving a few stars because odd fit aside the fabric was stretchy and comfortable, the stitching seemed good quality, and the style is cute. Nice for those who fit the cut.",3.0
34,Waist to small,1.0
35,"Unfortunately the shirt is see through enough on a white person to see the bra or nipples. The quality is very nice though, the solution is just wear a white bra or white undershirt or white pasties.This issue just kind of happens with white dress shirts. 🤷🏻‍♀️",5.0
36,"I tried on a l and found it incredibly unflattering on a large chest, as the waist hits a bit high.
the color is vibrant...i wanted to like!",3.0
37,I received the sky color in m online.  am definetly keeping it as it is beautiful.  however i wish they had made it a little less wide and more long.  i am 5 3 and could totally size down to a s but even at my height it would be too short.  i like crop tops and waist hitting tops a lot.  but the shortness on this one just looks like it shrunk in the dryer,4.0
38,I love this sweater.  It's a small but fits loose.  Great with jeans or skirts.,5.0
39,"I agree with the other two reviews that this shirt runs large, or something? ! i ordered an xs, my usual size, xs-s. the body of the shirt is very loose, the upper arms are a bit snug, and i don't have large arms. the shoulder seams are in a very strange place, but when you look at the model, it doesn't look so bad. with the shirt i received, and another reviewer, the seam was puffy, making for a strange look. in theory, the shirt should have worked, but didn't. i loved the pattern, not the fit.",2.0
40,"This top is beautiful to look at but did not fit me like the model. it was tight across the bust but very poofy at the bottom, which normally i like, but not this time. sad.",3.0
41,"Bought this dress for my daughter (teenager) and it is perfect. it is a cute dress, perfect for summer parties, special occasions. it seems to run a little small and  wrinkle easily, but over all, she and i both are happy with the dress.",4.0
42,It was a pretty dress but did not fit me right. I should’ve order an XS instead of a small.,1.0
43,"I wore every color on a week long vacation of hiking in national parks. They are super cute, but you have to be super careful with your underwear choice lol. High waisted thongs or legit 100% seamless only. Major “ c—- tow “ if no underwear. The white shorts are not squat proof and very see through it was laughable. Love the other colors tho. The lime green and yellow I thought I wouldn’t like but they’re actually super cute with any top. Love them!",4.0
44,"Looks fitted on, but this just turned out to be an oversized muumuu on. the fabric also felt cheap.",1.0
45,"This is a great pullover. very cute for lounging at home or running errands. it does run large, i ordered an xs & it's pretty big. for reference, i'm 5'7'', 125 lbs & 34 b. it is also a little pricey for lounge wear but i am keeping it because it is so cute.",4.0
46,"This dress was super cute online. i ordered it in small and medium, both fit, one tighter--obviously, but could have gotten away with either. the dress is cut a little funny under the armpits and fell a little weird in front so i didn't think it was flattering on me. it would be flattering on very slim body, smaller on top. i sent it back. i'm a 34 c, athletic build.",3.0
47,Normally wear med but large is good.,5.0
48,Love this dress - haven't worn it yet but wow the design / artwork of the fabric is beautiful !! waiting for weather to cool off a bit so can wear with my off white suede gogo boots ....,4.0
49,"These are the same in sizing as the hyphen chinos, but these are far more versatile. i love the boyfriend look of the hyphens, but the stet chino can be dressed up or down. they are so comfortable and the fit is wonderful. i'm 5'8"" 138 lbs, and i took my usual size 28 in these. i have full thighs, and i didn't find these to be too tight in the legs at all, but i only tried on the black/charcoal.",5.0
50,"I found this jacket on Amazon looking at clothing, this just popped to my eyes. I could Imagine my self in it. It looks great and my girl thinks so too, so worth the money.",5.0
51,Didn’t love that the lace was ruined. I loved the top but avoid the dryer at all costs!,1.0
52,I like the look of a sweater but it is not comfortable. After washing it became very stiff and  not soft or comfortable. I have never worn it again after that first time.,3.0
53,"Be careful what color you choose. In the photos, I couldn’t see that the neck and sleeve cuffs are a different color than the sweater. It is a very awkward look.",1.0
54,This jacket fits true to size and is well made.  I like it very much and looks great.,5.0
55,"I couldn't wait to get this dress! i bought it and was instantly disappointed when i took it out of the bag. while the fabric was beautiful, the sizing was way off. this dress claims to be 35"" long, and i could tell instantly it wasn't. it barely covered my rear. i also know it's supposed to be flowy, but it was really, really wide. i can see this working for someone around 5 feet tall who is wider.",2.0
56,"My hoya s and love his set of pj , I will order more from this shop . Packing is awesome , quick shipping",5.0
57,The material is thin and of poor quality.  it snagged the first time i wore it. the arm holes are very low as other reviewers stated.,1.0
58,"This is a beautiful, artistic piece for your wardrobe! seriously, rosie neira is a talented, london-based designer, who will thrill you with her vision. she is expert at making a woman look amazing from every direction; these knits are stunning, the materials and workmanship flawless. the medium fits me as expected (size 8, medium top, 34f). i was drawn to this by the rosie neira label, the flowing front drape and slightly longer back, the gorgeous knit quality and design, and the way it makes m",5.0
59,"Never want to take this tee off, so comfy, & neutral, ecru stripe, with a teeny bit sparklecolor is superb! goes with a ton of items from my own closets! need more in every color/print/stripe......just feels ooh, soooo good",5.0
60,"This jacket appears to be a metallic silver and that’s not the case. It’s more of a velvet grey. Initially we were pretty disappointed, however we paired with a black shirt, silver, white, and black tie, and black pants.  The result was very sharp!",4.0
61,Muy grande para el tamaño yo pedí mediano y es como tamaño largo muy largo,2.0
62,"These are very pretty, but i have had a few problems with them. out of the package, i found them to be true to size. i think i purchased the pxxs or the pxs. however, even though they are machine washable, i feel that they shrunk upon washing and are now too short (i am barely over 5' tall). also, the elastic waistband keeps twisting within the casing, which drives me crazy. i have to keep straightening it. i think there are better options for sleep pants.",2.0
63,"I should have sized up one size as they’re a little tight on my thighs but not too bad, can still wear",4.0
64,For me this had too much material and was a little too tent like. a beautiful dress but not my style. i prefer more a line with not so much material.if you are looking for something roomy this is a good choice.,4.0
65,I usually wear a woman's large in shirts and sweatshirts.  This fits more like a small - the sleeves are tight on my arms and the body is not as loose as the ones I normally wear.,1.0
66,"This blouse is lovely. i ordered a large because so many blouses run small for me, but am returning for a medium, as it fits pretty loose. i love the tie. its unique and feminine.",5.0
67,My daughter just wore this coat for the first time and the zipper does not zip. I am so upset that I paid the cost of this coat to only find out that my return window is closed since we purchased as a birthday present at the beginning of fall. Literally trash.,1.0
68,These run way too small!,2.0
69,"I will be buying another one of these. I love this sweater. Soft, warm, and stretchy.",5.0
70,"I likded this but tried it in two sizes and it was still too big in the armpit. my bra showed. i am about a d cup, smallish in other proportions (125, 5'6"") and no bra worked with this so that i wouldn't have to worry about my bra showing. nice fabric and drape. maybe good for someone who doesn't need a bra?",3.0
71,"This is a gorgeous dress with a great, boho styling! the color in person is exactly as it's shown. it is wearable all throughout the year - easily paired with boots or sandals. while the fit is true to size, i found the lace detailing has no stretch to it so the bodice is a little tight. i love this dress and can't wait to wear it.",4.0
72,"Love this cute, flowy, comfortable dress. It’s been great for hot summer days.",5.0
73,"Soft, lightweight and very comfortable. Great buy",5.0
74,Very comfortable not heavy the perfect summer pajamas for men!! LOVE THEM,5.0
75,Jacket is well made. Fabric is stretchy.  Fabric shrinks alot! Fabric had a bad odor after washing in warm water using Gain detergent then  removing from dryer...bad odor.  So bad I had to spray essential oils on it so I could wear it.  Update:  I tried to wear this jacket sprayed with perfume.  It still has a bad odor.  So I washed it again in Clorox bleach. I put good scented dryer sheets in dryer.  When I opened the dryer it smelled bad (like human or animal poop).  Not as strong but still to stinky to wear.  I should be given a full refund.  I am throwing it in the trash!!! DO NOT BUY THIS JACKET!!!,1.0
76,"I took my chances and while I knew it's not 100% cotton, I didn't expect a slight discomfort when I wear it.  Also, it picks up dust like crazy, maybe it's static.Overall nice garment.",4.0
77,"Decent shirt, but it some what too pricey for the quality. Shrunk after first wash.",2.0
78,Not sure what I received but it defiantly went back,1.0
79,"I absolutely love this top. it can be worn with shorts or jeans, dressed up or down. it fits perfectly, i am broad on top so i ordered a large. i bought it in white..i wish they had more colors. love it.",5.0
80,Product looked very cheaply made. Was not worth the price I payed.,1.0
81,"Ordered a size up (XL) because some reviews said it would shrink. This one didn’t. I’d already washed it, so I ordered a Large instead of returning it. Glad I did. The XL top and the large bottoms were just right for my husband. He says they’re comfortable. He likes the silly print.",4.0
82,"Washed them 3 times according to the instructions and shorts look 7 years old. They looked really nice when brand new. I liked the fabric, stitching, fit and overall quality. Unfortunately, the dye washes out of the fabric way too easily, making them look old.",3.0
83,"I bought these pants on a whim while i was at my local retailer. i was so delighted after trying them on because i've never tried on a pair of linen pants that i actually liked. they definitely have more of a flair leg rather than straight leg like the picture suggests. i wore them for several hours at a party and they didn't stretch that much on me. i agree with the other review in that they do get a little wrinkly but not much more than what i would expect from linen fabric. i'm 5'3"" so t",5.0
84,These either have extremely poor quality control or the fit varies between color. FYI the gray was loose on me and the kacki are tight. Same size. I'm working on losing weight so it won't be a long term issue.,3.0
85,Loved this dress for our “cutie” baby shower! Super comfortable.,5.0
86,Beautiful sweater - cool enough to wear on a florida evening and it will be perfect for vacation. the sleeves hit right above the wrist bone (exactly as shown on the model) and i really like that. sheer fabric but still a sweater - you will need a cami or tank underneath. can't wait to wear it!,5.0
87,"I own many of the natori feathers back close bras and decided to try the front close version for spring/summer tops and dresses. i purchased the yellow and got the matching hipsters panty. i no longer see the yellow available but you could find elsewhere or maybe retailer will bring this color back (it is lovely!)? for sizing, i tried my normal size (34b) and the cup size larger per other reviews. the 34c did end up fitting better so i also recommend going up a cup size. excited for warmer weather",5.0
88,"I bought this t-shirt in pink, blue, red, grey and black over the past year. every one of them except the grey, has gotten little pin holes in the front of the shirt below your waistline. i've returned them all. the fabric is thin and the quality of the t/shirt is terrible.",1.0
89,"At first, I really liked this blouse. Bought it specifically for a skirt I wanted to wear on a business trip. Have worn it twice and it looks and feels great. HOWEVER, after two washes (on delicate cool cycle, in a garment bag), it has started pilling in multiple places. If I wasn’t past the return window, I’d send it back.",2.0
90,"I loved this sweater - very cozy and flattering but the first time I wore it it developed a hole on the front. It had a small pull in the yarn when I put it on, but I thought it would be okay. After about 20 min, it developed into a hole. I'm really disappointed and cannot even request a refund.",2.0
91,My daughter is petite and needed it for a school assignment.  It was too small for her… will not buy again.,2.0
92,Awful fit,1.0
93,"This dress is easy and attractive. it's very soft and just slips on, but looks very put together. on my shorter frame, it's a bit long, more midi length, but it's so comfortable and pretty, that i'm fine with it; it looks a little bit 20's that way. recommended.",4.0
94,I like being able to buy a pair of these pants online knowing only the size I wear and have them fit PERFECTLY when they arrive and I try them on. Great value too!!!,5.0
95,"Good polo shirt, fits as expected. Light and breathable without being see-through.",5.0
96,Doesn't fit missing shirt,1.0
97,Not as loose fitting as pictured. Material feels cheap and itchy. Really bummed this one didn’t work out,2.0
98,"I love the material.  It's pretty lightweight which I was looking for. The dark green color is spot on with image. Buyer beware though...since this item material is mainly spandex, the spandex threading starts to fray and come out at the seams. After 2 washes (per label), the threads coming out colorless and stretchy - image of bottom hem in the back. Wish I could get my money back because now I can't wear it...looks trashed already after only a month.",2.0
99,"Slightly heavy, runs short in length",2.0
100,This is very soft and comfy and fits nicely. My only complaints are that the colors were a little off from the picture and the sweater started pilling right after the first wash.,4.0
101,"Baggy is so uncool.  I guess ""classic"" means baggy.  The photo seemed so good, but wow.  It's headed to the 2nd hand store.Finish is ""shiney"" which I think is great for golf.",3.0
102,"I really like the color of this and the feel, but that is where it ends. it does not come with the gorgeous flattering belt that it is pictured with, and is cut without shape so it does not fit to your body and show off any glorious womanly curves. i could purchase the belt with it, but i don't prefer to purchase products that cannot stand on their own.",3.0
103,"This is a fitted jacket. I am a size 2-4 and bought a medium. It was fitted, not oversized. It has cheap looking pockets and was an ugly orange color, not a tan color.",1.0
104,Did not like the feel of the item.,2.0
105,Bought for my friend daughter,5.0
106,"Now this is a summer staple! love the design of the bib of this tee. super soft, great neutral charcoal color and can be dressed up or down. it is loose, i'd recommend sizing down.",4.0
107,Only received one shirt when it said there were supposed to be 2…,2.0
108,Completely see through. So disappointing,1.0
109,"I received this top by mail yesterday and opened it this morning. all i can say is wow. it's gorgeous. the detailing is stunning, classic retailer amazing. a true standout piece. can't wait to wear.",5.0
110,"The dress fit fine, with two exceptions. first, i am 5'1"", and i ordered a petite 4. the dress was dragging on the ground, so it would need hemming if i were keeping it. but the deal breaker was that the gathering of the outer fabric over the bust stuck out an inch beyond my 34d figure, which made me look like i had very oddly shaped nipples. i made the assumption that the dress i received was defective, so sent it back, but unfortunately, the replacement fit the same way. the lining fabric fit",3.0
111,"I ordered a large and despite wearing a large in many other items from antrhopologie, this item was too small, especailly across the bust. it was very well-made and the color green is beautiful, but unfortunately, i will not be able to wear it. so disappointed.",2.0
112,It was ok. The pants was to long. I had to cut some off.,3.0
113,"I love wide neck & off-shoulder tops. i think they are very flattering. at first i thought the fabric was too thin but then realized since i want to wear this with a fuller party skirt, its nice that ir is not too bulky.
i actually think it will be really cute with white jeans in the summer and great way to dress up a casual outfit.",4.0
114,"Esperaba algo de. Mejor calidad , no agrado la contextura , por ese motivo la retorne.",1.0
115,"After just a couple of games, the knee is torn through. The knee is slightly reinforced but needs more. Also, must wear white underwear or the colors will show through these pants.",3.0
116,"Really wanted to like this and took chances based on other reviews, even with the sale price and addtl discount. it's basically $30 blouse fabric with design and detail-work of a much more expensive blouse. the white is sheer and and fabric will wrinkle easily. if it were black, you could probably get away with it, but the white shows too many flaws and will wrinkle. sad to have to send it back.",2.0
117,"Love this shirt, but beware that it shrinks if you place it in the dryer. the good news is my teen daughter loves it, too, and benefited from my mistake. i usually wear a s or size 6 and bought this in a medium the second time around to allow for dryer.",4.0
118,"The softest cotton gauze but, not see through. relaxed but, the sleeves & neckline make it flattering. a gorgeous blue in person. so in love with this dress, going back for it in white!",5.0
119,"The pattern is cute. it's a little more subtle than in the photos. the problems were the skirt are 1: pretty sure it will wrinkle in two seconds and 2: it has buttons down the front of it with no lining behind it. which means, if you sit down wearing this skirt and it doesn't lay quite right, it gaps and you can see whatever is or is not underneath! the buttons are like two inches apart, so it's not a tiny little gap. no thanks. also, this skirt fir true to size, it wasn't tight, just gappy.",3.0
120,"I bought these a great alternative to black jeans but they are headed back.  the texture is nice but let's call them what they are- thin, leggings.  not worth the price in my opinion.  honestly, i can't seem to find a pair of pilcros that i like so i'd spent the extra money on a better pair of black jeans.",2.0
121,Need for work,3.0
122,This top is very wide and shorter than in appears in the picture. it also has a strong chemical smell. i've had a couple pieces with that smell in the past and the smell never washed out.,2.0
123,"Not as pictured, looked childish and had a hole right in the front chest area.",3.0
124,"I love this jacket. i have not worn it yet, as the weather is still very warm, but i am looking forward to wearing this a lot this fall. the cropped cut is very flattering and the vegan leather very soft, i followed the other reviews and ordered one size up and it;s perfect. i am normally a size 4 and went with he medium. the plum color is quite neutral in person. i also love the printed lining. i did notice quite a few long threads around the lining sewing, i hope this is just an overlooked pos",5.0
125,"Didn't love it, didn't hate, rather indifferent. the grey was a little more muted than i wanted for a summer tee.
i'm 5'4"", 123lbs, 34a, the xs fit if it wouldn't shrink, if you're about this size but larger busted go with the s.",3.0
126,"Omg I'm obsessed with this sweater, I have been looking for this exact style for so long, with the longer back and the slit on the sides making it super roomy. The fabric is such amazing quality and has great weight to it. I was a bit apprehensive at first due to the price but you truly get what you pay for so I'm absolutely going to order more colors now! If you're on the fence about this sweater, definitely buy it!",5.0
127,"I was on the fence about this dress because even on the model, it's a little bit frumpy, but it was so pretty that i tried it. however, on my short frame, it's even frumpier. the quality is very good, the fabric is soft and it's lined. the pattern is really pretty and delicate and i wish it was more flattering. i think the only way this dress will look good is if you are quite tall and thin. i am 5'4"", 110 lbs with large-ish hips and i ordered a 2p, but even the petite was too saggy. i needed a",3.0
128,"I'm a petite so as usual i have to order from retailer. i saw this on line and tried it on in a regular size in the store. even though of course it didnt fit, the style of the tee was nice so i ordered it. i couldnt have been more disappointed when i received it. the quality was truly awful. i'm not even sure why it is being sold. the neckline was warped and wouldn't lie flat again the neck or chest; the bottom hem was crooked. it was really bad. also having purchased tees in similar material befo",1.0
129,"Beautiful suit. i had been eyeing this one for weeks and finally decided to just buy the darn thing. 
it is tiny, just beware. as in it doesn't cover much, especially on the booty. not a bad thing, but buyer beware :) if you are looking for more coverage, size up. i wear a 32d and ordered a medium top. good thing i didn't get a small. i have to get the band taken in a bit, but i need the coverage in the cup. 
for the bottoms i also got a medium and usually wear a small or medium in swimwear bo",4.0
130,"I bought the squirrel print in XS for less than $8 in the summertime. When I got the set I saw the Santa hats and red ear muffs on the pattern, but it's still cute even in July.Buttons fell off during the first wash. I replaced them and washed the set a second time to make it softer.Then I tried to sleep in them. That lasted about 10 minutes. I felt like I was sleeping in a bulky uniform.Can't sleep in them!",2.0
131,"This is a great t-shirt; i love it. it fits great, isn't too bulky and has a great length to go with anything. i love it.",5.0
132,"The dress is well-made and very nice, just didn't suit all of my lumps and bumps. wasn't super forgiving. also, i'm 5'8"" and it was a bit shorter than i expected. otherwise, a great dress!",4.0
133,I really liked this top when i saw it online. i went to the store to check the sizes. i am a small or a medium. i tried on the s and the xs. even the xs was huge. unfortunately the xxs is sold out. i don't understand the sizing on this at all. it's a shame because the top itself is very pretty. just be sure you try it on before purchasing.,3.0
134,pants barely worn and color still dark as not too many washings but seat  / butt area quickly ripped as the material they use now is poor in quality.,1.0
135,They fit fine but after a month of use they are already falling apart. The fabric start to tear and pills.,1.0
136,"I'm ordering the same jacket, but 1 size larger. The jacket runs a size smaller than what is marketed. So, if you wear a Medium like me, then get a large. This goes for the men's version as well.",4.0
137,"This item is huge. i'm normally a medium, sized down to a small, still massive. couldn't go too much smaller because the buttons would pull at the chest. but the sleeves are very wide, as is the waist. way too much fabric. i had high hopes for this one but it just doesn't work. for reference i love billowy and flowy tops, but this was a tent.",2.0
138,"These pants are a fun way to mix it up from the usual dark, solid colored pants. the print is a perfect balance between subtle and bold. the fabric is soft and stretchy and i love that these pants are washable. i i'm petite (5'2"") but my petite size was sold out so i bought these pants in the regular length. they are soooo long that i think even the petite size wouldn't have ended up cropped on me. having said that, i like them enough that i plan to keep them and have them shortened. i usually s",4.0
139,"I loved these pants the minute i put them on, and was so happy i'd ordered them. but i wore them only 3 times - and only at dinners with friends, not even for full days - and the seams on both legs ripped open! i think the faux leather just isn't equipped to handle the stretch of fitted leggings. i was super-bummed about this, because these pants are so insanely cute. but if they can't hold up to a few casual wears, then there's just no way... thankfully retailer was true to their brilliant custom",1.0
140,"This shirt has an incredible softness to it and the purple print is so lovely, i did end up returning it simply because the flowiness was a bit too much for me. i had tried the 2 and 4 and went with the 4 due to arm restrictions in the smaller size. too bad because it really is a lovely top. definitely worth a try in store!",4.0
141,"I intentionally searched for Bamboo, linen, or cotton PJs. It is almost impossible to get the correct items even if the search criteria is specific! I absolutely hate this abt Amazon! They truly don't vet their vendors/suppliers and/or don't care abt all the false or misleading, well down right lying/deceiving customers. I usually check the details on items, but it was late and I've been desperately searching for material that breathes due to medical issues. So I just got these, tried them on first thing and before washing them, checked the labels...95% polyester AND of course made in China. I'm going to make an effort to find made in the US or ANY place other than China. I cannot understand why we still do ANY biz with China. Now all that being said, the PJs fit perfect. Cursory look, material/pattern is nice. Very soft. But dang, mislead.",2.0
142,This shirt runs very large. i will be returning for a smaller size.,2.0
143,"I was hesitant to try this on because honestly, it looked so short. however, i just bought this at my retailer store and it is very flattering on! 1st of all, it runs big. my normal size (12) was way too big and i had to go down a size. i could have gone down 2 sizes but the length became problematic. in my regular size (that was too big), the skirt hit me a few inches above my knee. perfect! in the size smaller, it was a tad higher; wish it was the same longer length as the 12 but still acceptabl",4.0
144,The jacket was too big and the pants only fit in the thighs. My son was able to wear the pants with a belt and the vest fit perfectly. Before the night was over the pants split coin the crouch area. I would not recommend anyone that have thick thighs to purchase this suit. My son normally wears a 36 and i purchased a 2xl thinking that he would be able to fit it.,2.0
145,"I bought this suit based on the great reviews. i was so bummed when i tried it on. the top fit so well but the bottom kept bunching up. my torso is on the longer side so maybe that's why the bottoms keep coming up. every time i pulled the shorts down, the top would come down too, and vice versa. i am 5'5 and 120lbs and bought a 2 which is my normal size. i did like that the top had a bit of padding but that's the extent of what i liked about it. i will be returning it.",2.0
146,"This is definitely a personal preference review. i loved this dress when i tried it on. it's really beautiful. however, there was just way too much fabric on the sleeves for me. i know it's the style and i have similar style dresses, but i felt really large in this dress and it all came down to the sleeves for me.",3.0
147,"I love the vest and have worn it a lot, perfect for early spring weather here in the mid-west.  It is a nice weight and exactly what I wanted. Note that others have noted the elastic finished edge on the arm opening as it does give it a less polished look. I have sewing skills and I did ""take"" it in a bit under the armpit area. I was able to make it less ""bunchy"" looking and more polished.  It still has the elastic trim but I was happy I could alter as the vest was exactly what I wanted.  Fits nice and great weight and pockets.",4.0
148,Great pair of jeans,4.0
149,"I ordered this top online in two colors, and kept the berry color. i liked it while trying it on. when i wore it an entire day, the top just didn't look that good. it wasn't flattering, and it focused on the bad areas despite being loose fitting. it didn't seem very flattering. i wore it for one day and am not happy with my purchase. i wish i could send it back but i already wore it. the fit just isn't very flattering. it is loose but focuses on the curves not in a good way if you are curvy.",3.0
150,"Just know that the shirt is a regular vneck t-shirt  ,it is just tucked into shorts",2.0
151,"I was so excited to receive this top!!! the material and design is gorgeous but it is way way way too short!!! i'm 5'7"" with an hourglass shape/average build and it barely hit the top of my pants! it otherwise fit true to size. so disappointed!!!! and for the price, it really should be cut better.",2.0
152,"As soon as my eyes touched these pants i knew my body had to. not only doo they look great, they feel great. the material is very soft with just enough stretch. they've quickly become my favorites. i loved the first pair so much i immediately bought the other color.",5.0
153,These are WAY WAY WAY smaller than what they say.  I wear 18 and these wear more like 12's I couldn't come close to buttoning them.  I read other reviews and they claimed that the pants were big but that was not the case for me.  Returning,1.0
154,"I ordered this in lime, which is one of my fave colors. the garment was loose and roomy, and had the designer used elastic anywhere on the waist, i would have been in love! the shoulders were only tight due to the lack of flexibility in the bottom - no elastic at the waist and no placket below the waist to increase the ease of mobility taking the garment on and off - so if i had to use the ladies' room, i had to plan ahead. 

i took it on a trip and didn't have time to try on prior to leaving.",3.0
155,"I bought this top in the blue motif and loved it so so very much until i washed it. it came out of the wash (delicate/cold cycle) with 3 small holes. i am devastated because it was destined to be my favorite top for summer. it is flattering, lightweight, gorgeous color, cool raw edges, v-back detail...i could go on and on about all the things i love about this top, but now it has holes after one washing so it's all for naught. do-over please with better fabric qa.",2.0
156,"These are cute for price. I sized up to XL as I'd rather shorts be a little big than too small. The XL fits fine - slight gapping in waistline but not bothersome. The leg openings are tight-ish. The inseam seam is not at all stretchy and is very stiff and rigid. The outside of the leg feels stretchy and you can pull them down to 6"" length but the inside stitch is so stiff that it prevents you from adjusting them to longer length, which is a bummer for me. Otherwise I'm being picky. They're cute and I'd buy again in another color as long as they stay under $25.",3.0
